Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
100000,64357,-1,110.13,32.0068,99998,99998,6831,47764,1304202
100000,77408,-1,104.417,29.6207,99998,99998,6960,24001,859250
100000,35189,-1,104.525,30.5566,99998,99998,6996,16476,691191
100000,56536,-1,105.198,29.8862,99998,99998,6906,13026,601630
100000,11175,-1,105.331,28.7826,99998,99998,6983,8048,485575
100000,40710,-1,103.472,29.8476,99998,99998,7099,4368,382134
100000,26648,-1,102.933,32.5807,100000,100000,6877,48838,1305564
100000,62976,-1,111.077,30.3918,100000,100000,7120,23865,860589
100000,69474,-1,102.245,29.5842,100000,100000,6793,16607,689369
100000,37975,-1,89.7501,30.3287,100000,100000,7003,13286,602795
100000,90561,-1,89.9299,29.3904,100000,100000,6869,7925,484993
100000,90902,-1,99.9477,30.5598,100000,100000,6861,4174,381195
100000,15653,-1,102.68,32.7151,100000,100000,6772,48269,1303968
100000,48332,-1,104.941,29.7992,100000,100000,7049,24207,860294
100000,65636,-1,101.209,29.0598,100000,100000,6986,16827,691438
100000,72232,-1,101.473,29.269,100000,100000,6884,13250,602083
100000,68646,-1,104.983,29.3974,100000,100000,6912,8061,485050
100000,7490,-1,105.02,29.8887,100000,100000,7153,4313,382214
100000,61980,-1,102.337,31.3193,100000,100000,6935,48308,1305721
100000,37235,-1,100.432,30.1263,100000,100000,6956,24148,859075
100000,35561,-1,104.684,29.458,100000,100000,7059,16715,691674
100000,39853,-1,89.5637,29.9559,100000,100000,7020,13438,602866
100000,41840,-1,100.119,29.036,100000,100000,7060,8073,485620
100000,60104,-1,104.643,29.7287,100000,100000,7022,4355,381684
100000,83773,-1,100.306,31.9073,100000,100000,7025,48924,1307023
100000,88076,-1,108.232,30.0841,100000,100000,6895,23804,858313
100000,53275,-1,111.938,29.6718,100000,100000,6924,16902,690506
100000,62748,-1,104.498,28.9031,100000,100000,7015,13261,602896
100000,5433,-1,107.589,29.2559,100000,100000,7116,7911,485759
100000,77348,-1,107.229,45.8296,100000,100000,7098,4344,382206
100000,34244,-1,102.075,31.4114,100000,100000,6974,48289,1307319
100000,63633,-1,104.571,29.6629,100000,100000,7050,23731,859665
100000,99991,-1,101.516,29.7993,100000,100000,7027,16727,691653
100000,5497,-1,100.591,29.0782,100000,100000,6861,13108,601491
100000,2448,-1,105.011,29.3645,100000,100000,7015,8026,485570
100000,2620,-1,101.332,29.898,100000,100000,7020,4246,381634
100000,51669,-1,101.958,31.6093,99998,99998,6889,48149,1304717
100000,27595,-1,104.895,29.6288,99998,99998,6873,23816,858733
100000,58528,-1,103.902,29.3666,99998,99998,6980,16869,691447
100000,56175,-1,101.746,29.063,99998,99998,6941,13365,602403
100000,58845,-1,104.783,28.7183,99998,99998,6942,7935,485331
100000,89024,-1,99.8598,29.7751,99998,99998,6943,4350,381238
100000,16448,-1,99.7007,31.2978,100000,100000,7077,48085,1307970
100000,24671,-1,107.833,29.572,100000,100000,6945,23727,859033
100000,14862,-1,99.9907,29.4321,100000,100000,6804,16377,689680
100000,70889,-1,104.122,28.9003,100000,100000,6989,13242,602364
100000,68302,-1,104.816,28.996,100000,100000,6926,7947,485128
100000,45757,-1,104.751,29.579,100000,100000,6987,4250,381475
100000,47496,-1,100.775,31.245,99999,99999,7107,48197,1309504
100000,61521,-1,111.918,29.7035,99999,99999,6930,23927,859520
100000,38849,-1,111.685,29.4809,99999,99999,6870,16640,690977
100000,89800,-1,102.426,29.5891,99999,99999,6881,13263,602449
100000,56298,-1,124.256,29.0332,99999,99999,6948,8119,485332
100000,50939,-1,104.18,29.5398,99999,99999,6927,4499,381186
100000,78183,-1,103.71,31.8454,99999,99999,6933,48340,1303744
100000,30198,-1,104.918,29.4823,99999,99999,7026,23664,859269
100000,61642,-1,109.251,29.235,99999,99999,6928,16808,690084
100000,3830,-1,107.725,29.1505,99999,99999,6901,13478,601901
100000,91963,-1,105.395,28.9803,99999,99999,6772,8085,483918
100000,84972,-1,104.615,29.783,99999,99999,6933,4359,381089
100000,89728,-1,479.166,171.942,100000,100000,95926,208578,2834304
100000,69410,-1,482.898,167.634,100000,100000,96227,112312,1853200
100000,38515,-1,494,153.451,100000,100000,96362,79779,1492309
100000,30122,-1,481.43,157.577,100000,100000,95956,62016,1292463
100000,96901,-1,477.536,166.565,100000,100000,96001,39148,1032505
100000,50919,-1,473.223,168.259,100000,100000,96097,21038,792319
100000,78731,-1,488.052,177.978,100000,100000,95932,208869,2834697
100000,97504,-1,486.135,167.436,100000,100000,96186,113057,1852754
100000,33466,-1,486.951,167.681,100000,100000,95860,79776,1488192
100000,86876,-1,474.698,167.103,100000,100000,95859,62250,1291439
100000,38410,-1,473.853,166.521,100000,100000,96242,39071,1033572
100000,3390,-1,476.075,168.47,100000,100000,95829,21105,791371
100000,68993,-1,481.535,171.676,100000,100000,96229,210138,2839379
100000,10355,-1,481.293,168.247,100000,100000,95919,112743,1849683
100000,25912,-1,479.279,167.163,100000,100000,95921,78969,1488593
100000,67422,-1,490.376,161.396,100000,100000,95757,62631,1291129
100000,98780,-1,473.875,166.602,100000,100000,96012,39033,1032451
100000,91846,-1,490.436,167.831,100000,100000,96142,21419,792775
100000,4561,-1,466.633,172.885,100000,100000,96170,210180,2838417
100000,85519,-1,473.543,184.431,100000,100000,96260,113418,1853392
100000,55610,-1,478.001,155.337,100000,100000,95940,79450,1488621
100000,74459,-1,474.971,167.267,100000,100000,96214,62122,1294361
100000,4930,-1,475.842,166.93,100000,100000,96124,39298,1033578
100000,40289,-1,477.278,168.141,100000,100000,96066,21408,792148
100000,13868,-1,485.42,155.715,100000,100000,96102,209101,2837441
100000,886,-1,475.386,168.152,100000,100000,96474,113414,1855981
100000,18734,-1,477.659,166.984,100000,100000,96192,79519,1490854
100000,22021,-1,477.632,160.975,100000,100000,96123,62405,1293712
100000,77215,-1,484.772,167.331,100000,100000,96061,39062,1032560
100000,29387,-1,474.67,168.271,100000,100000,96173,21402,793042
100000,13416,-1,478.965,171.783,100000,100000,95747,208829,2832025
100000,66109,-1,477.717,168.358,100000,100000,95754,112041,1847757
100000,37951,-1,477.815,169.91,100000,100000,95950,79511,1489769
100000,92966,-1,474.885,167.369,100000,100000,96098,62471,1293520
100000,56051,-1,481.266,166.753,100000,100000,96317,39141,1034216
100000,53298,-1,478.809,168.643,100000,100000,95998,21091,792112
100000,97060,-1,477.659,175.587,100000,100000,96002,209512,2835485
100000,98555,-1,473.506,168.748,100000,100000,96230,112952,1852922
100000,24610,-1,478.023,167.234,100000,100000,96103,79315,1490499
100000,67789,-1,472.984,166.647,100000,100000,96236,62941,1294691
100000,20165,-1,474.225,166.755,100000,100000,96042,39350,1032792
100000,99678,-1,493.077,155.006,100000,100000,96402,21359,793788
100000,57606,-1,478.703,171.191,100000,100000,96017,209147,2835756
100000,21518,-1,478.119,167.834,100000,100000,96067,112018,1851747
100000,58300,-1,477.423,167.175,100000,100000,96323,79816,1492299
100000,67707,-1,474.607,167.593,100000,100000,96343,62351,1295741
100000,19742,-1,472.602,166.987,100000,100000,95917,39186,1031965
100000,34064,-1,474.472,167.836,100000,100000,95663,21319,791090
100000,61709,-1,479.187,168.272,100000,100000,96093,209081,2837042
100000,17717,-1,475.041,174.326,100000,100000,96193,112575,1853423
100000,64473,-1,476.188,167.281,100000,100000,96024,79271,1489290
100000,90809,-1,485.629,166.981,100000,100000,95731,62129,1290337
100000,6707,-1,475.983,166.808,100000,100000,96530,39194,1035160
100000,84823,-1,479.995,168.452,100000,100000,96290,21103,793574
100000,92773,-1,478.936,171.704,100000,100000,95871,208398,2832771
100000,66315,-1,474.118,168.428,100000,100000,95625,112622,1847511
100000,89268,-1,477.71,167.29,100000,100000,95847,79448,1488508
100000,47408,-1,484.167,166.686,100000,100000,95926,62022,1292340
100000,70760,-1,473.907,177.381,100000,100000,95961,38892,1032135
100000,19684,-1,478.496,165.176,100000,100000,96141,21513,792699
100000,25488,-1,1438.62,469.024,100000,100000,188268,380108,4377503
100000,78596,-1,1415.23,476.493,100000,100000,188097,203424,2823072
100000,8461,-1,1421.1,446.026,100000,100000,188199,143585,2279669
100000,66509,-1,1428.39,471.333,100000,100000,188154,113788,1992567
100000,43503,-1,1412.08,446.677,100000,100000,187997,71616,1552429
100000,37415,-1,1420.67,479.01,100000,100000,187917,38864,1226049
100000,45295,-1,1427.17,484.383,100000,100000,188296,380042,4377914
100000,63269,-1,1416.24,484.456,100000,100000,188638,204047,2829745
100000,55317,-1,1419.05,433.025,100000,100000,188242,144362,2280029
100000,85065,-1,1428.9,475.944,100000,100000,188200,114193,1993638
100000,10759,-1,1415.38,476.435,100000,100000,188337,71479,1554446
100000,31010,-1,1400.25,443.999,100000,100000,188223,38800,1227782
100000,56355,-1,1417.63,483.06,100000,100000,188621,380387,4382723
100000,25185,-1,1426.99,479.466,100000,100000,187877,202509,2821079
