Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
100000,50341,-1,103.684,38.1407,99998,99998,6976,49035,1307234
100000,12877,-1,94.547,31.0747,99998,99998,6981,23453,859725
100000,78995,-1,104.625,30.1245,99998,99998,6977,17022,691291
100000,99156,-1,111.944,32.5703,99998,99998,6829,13324,601683
100000,63766,-1,108.121,31.6425,99998,99998,6957,8072,485050
100000,88510,-1,101.989,31.6809,99998,99998,6893,4240,381052
100000,44037,-1,103.365,35.8275,100000,100000,6893,48927,1305223
100000,3673,-1,104.251,35.2288,100000,100000,6892,24018,858480
100000,41283,-1,104.411,31.1615,100000,100000,6986,16917,690882
100000,99499,-1,107.788,30.4503,100000,100000,6822,13055,601581
100000,68835,-1,105.322,29.9465,100000,100000,6973,8043,485131
100000,84830,-1,104.769,32.1309,100000,100000,7083,4388,381736
100000,15325,-1,119.694,34.6825,99998,99998,6847,48127,1304197
100000,3810,-1,108.947,30.5349,99998,99998,6898,23766,858823
100000,88682,-1,106.545,31.7891,99998,99998,7064,16931,691731
100000,36275,-1,102.582,30.2665,99998,99998,7074,13205,602754
100000,92912,-1,103.228,30.3279,99998,99998,6919,8007,485179
100000,51872,-1,106.895,30.8692,99998,99998,7011,4353,381798
100000,89382,-1,102.212,34.9676,100000,100000,7015,48491,1306982
100000,94778,-1,103.022,36.3755,100000,100000,6882,23925,859066
100000,81574,-1,103.251,30.619,100000,100000,6875,16789,689869
100000,57500,-1,101.966,30.0157,100000,100000,6873,13109,602224
100000,14155,-1,103.325,29.8296,100000,100000,6910,7871,484863
100000,36992,-1,93.7945,32.1985,100000,100000,6959,4360,381194
100000,76032,-1,103.9,33.951,100000,100000,7006,49016,1307785
100000,24136,-1,103.223,35.7981,100000,100000,7130,23696,860228
100000,21301,-1,105.548,30.0651,100000,100000,6908,16660,690550
100000,53083,-1,107.597,32.5893,100000,100000,7076,13470,603581
100000,46156,-1,105.532,32.4116,100000,100000,7086,8213,485952
100000,26778,-1,103.086,31.7748,100000,100000,7028,4268,381624
100000,62817,-1,109.356,34.2968,100000,100000,6936,48931,1306389
100000,81243,-1,104.713,34.5817,100000,100000,7066,23581,860011
100000,43786,-1,92.7007,31.9516,100000,100000,6957,16632,690830
100000,96042,-1,103.36,30.6787,100000,100000,6944,13273,602382
100000,27729,-1,106.766,30.3379,100000,100000,6943,8222,485233
100000,62928,-1,103.847,31.3611,100000,100000,7043,4415,381688
100000,32437,-1,106.246,36.6042,100000,100000,7023,48729,1306656
