Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
1048576,428326,-1,759.601,493.612,1048567,1048567,15982,107954,8069644
1048576,195869,-1,747.397,456.198,1048567,1048567,16119,107731,8073145
1048576,175115,-1,763.795,473.459,1048567,1048567,15925,107076,8072800
1048576,741101,-1,742.53,456.081,1048567,1048567,16111,107916,8070878
1048576,499427,-1,749.622,458.35,1048567,1048567,15931,107597,8068594
1048576,599131,-1,753.082,493.797,1048567,1048567,16100,107396,8069244
1048576,855079,-1,747.673,477.995,1048567,1048567,16070,107518,8072750
1048576,286849,-1,769.164,515.093,1048567,1048567,16039,108175,8073568
1048576,1047906,-1,757.272,488.716,1048567,1048567,15901,108141,8071710
1048576,981319,-1,751.726,487.561,1048567,1048567,15877,107125,8071876
1048576,470291,-1,746.805,472.101,1048567,1048567,16121,107954,8072953
1048576,353893,-1,745.822,475.786,1048567,1048567,15892,107994,8069591
1048576,206100,-1,748.945,491.935,1048567,1048567,15994,107924,8072261
1048576,513611,-1,753.716,490.946,1048567,1048567,16022,108061,8071381
1048576,1007304,-1,743.671,466.383,1048567,1048567,16170,107706,8074565
1048576,43797,-1,765.214,477.481,1048567,1048567,15763,107163,8069933
1048576,987623,-1,775.506,476.306,1048567,1048567,16105,107459,8074683
1048576,1043261,-1,749.307,479.385,1048567,1048567,16064,107543,8072163
1048576,862803,-1,745.181,465.889,1048567,1048567,15913,106911,8069185
1048576,102101,-1,772.743,464.985,1048567,1048567,16094,107364,8070389
1048576,133496,-1,751.281,500.772,1048567,1048567,15813,107729,8068941
1048576,379891,-1,756.528,458.986,1048567,1048567,16027,108020,8072555
1048576,92427,-1,765.778,464.297,1048567,1048567,16226,107267,8073982
1048576,773524,-1,747.754,490.033,1048567,1048567,16157,107508,8073066
1048576,549470,-1,747.381,475.196,1048567,1048567,15808,107951,8068899
1048576,633088,-1,764.834,468.586,1048567,1048567,16247,107731,8075319
1048576,646125,-1,742.971,480.094,1048567,1048567,15982,107904,8072669
1048576,755998,-1,745.972,454.698,1048567,1048567,16319,107398,8072551
1048576,257094,-1,750.455,477.54,1048567,1048567,16152,107059,8072165
1048576,991939,-1,746.701,469.018,1048567,1048567,15762,107119,8067895
