Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
2048,1303,-1,349.77,116.355,2048,2048,7095,5619,48725
2048,47,-1,347.564,114.642,2048,2048,7200,5561,49888
2048,701,-1,346.751,115.397,2048,2048,7214,5715,49653
2048,1706,-1,346.786,117.213,2048,2048,7141,5394,48788
2048,536,-1,364.866,128.287,2048,2048,7099,5450,48890
2048,561,-1,364.69,120.523,2048,2048,7326,5626,50373
2048,677,-1,372.793,121.917,2048,2048,7118,5506,49427
2048,1331,-1,351.977,114.675,2048,2048,7256,5500,50235
2048,1832,-1,357.673,120.057,2048,2048,7367,5645,51190
2048,446,-1,372.517,118.314,2048,2048,7375,5733,50842
2048,655,-1,354.127,123.219,2048,2048,7266,5728,50031
2048,615,-1,342.975,127.991,2048,2048,7277,5573,50435
2048,663,-1,353.392,122.098,2048,2048,7340,5641,50637
2048,267,-1,360.372,116.457,2048,2048,7203,5492,49927
2048,1264,-1,352.221,122.329,2048,2048,7226,5640,50139
2048,276,-1,367.379,118.907,2048,2048,7270,5577,50252
2048,596,-1,350.317,115.926,2048,2048,7216,5660,49207
2048,437,-1,350.639,115.868,2048,2048,7195,5598,49455
2048,1919,-1,362.149,116.325,2048,2048,7164,5521,49765
2048,477,-1,357.078,126.301,2048,2048,7121,5466,49099
2048,273,-1,366.652,120.599,2048,2048,7167,5629,49289
2048,109,-1,359.302,120.056,2048,2048,7270,5791,50390
2048,1043,-1,367.139,120.164,2048,2048,7286,5674,50213
2048,194,-1,377.289,120.688,2048,2048,7146,5632,49311
2048,112,-1,368.648,121.533,2048,2048,7173,5595,49105
2048,573,-1,363.391,119.558,2048,2048,7312,5672,50417
2048,397,-1,357.302,123.609,2048,2048,7447,5869,51264
2048,1299,-1,356.673,129.741,2048,2048,7189,5672,49506
2048,2014,-1,354.348,119.376,2048,2048,7480,5903,51325
2048,1603,-1,360.896,121.802,2048,2048,7322,5575,50613
4096,2545,-1,355.591,129.921,4096,4096,13432,10368,101297
4096,3652,-1,359.437,121.704,4096,4096,13563,10388,101993
4096,3838,-1,365.499,125.003,4096,4096,13436,10399,101411
4096,1929,-1,365.355,125.655,4096,4096,13401,10230,101041
4096,3487,-1,372.848,130.033,4096,4096,13425,10037,101393
4096,939,-1,362.269,130.987,4096,4096,13416,10178,100832
4096,2297,-1,352.842,125.947,4096,4096,13505,10290,101622
4096,3366,-1,363.259,130.52,4096,4096,13272,10307,99985
4096,1465,-1,372.732,118.778,4096,4096,13437,10332,101160
4096,3375,-1,351.055,120.222,4096,4096,13504,10468,102181
4096,1397,-1,358.478,119.302,4096,4096,13687,10445,102561
4096,2808,-1,346.436,130.664,4096,4096,13491,10324,101642
4096,689,-1,347.22,129.069,4096,4096,13392,10226,100416
4096,2876,-1,348.782,122.451,4096,4096,13431,10343,101175
4096,2704,-1,377.646,129.733,4096,4096,13470,10321,101566
4096,2077,-1,349.962,130.875,4096,4096,13313,10076,100877
4096,4064,-1,383.239,119.764,4096,4096,13495,10210,101605
4096,1090,-1,346.502,129.942,4096,4096,13381,10346,100587
4096,360,-1,351.616,123.485,4096,4096,13631,10372,102592
4096,218,-1,347.42,121.103,4096,4096,13396,10223,101285
4096,2347,-1,349.989,131.028,4096,4096,13641,10571,102251
4096,901,-1,338.447,117.752,4096,4096,13312,10188,100532
4096,2909,-1,344.164,124.971,4096,4096,13488,10364,101377
4096,2022,-1,348.768,117.75,4096,4096,13296,10028,100314
4096,4086,-1,360.778,119.185,4096,4096,13511,10336,101925
4096,983,-1,345.099,126.098,4096,4096,13681,10628,102882
4096,132,-1,354.642,119.473,4096,4096,13565,10287,102282
4096,2576,-1,357.72,119.939,4096,4096,13305,10073,100739
4096,704,-1,355.058,118.88,4096,4096,13451,10354,101218
4096,3950,-1,371.351,119.467,4096,4096,13483,10422,101672
8192,3288,-1,358.182,130.315,8192,8192,24088,18496,203698
8192,3678,-1,364.408,119.521,8192,8192,24167,18460,203882
8192,410,-1,346.493,124.52,8192,8192,23972,18580,202614
8192,6470,-1,364.131,127.411,8192,8192,24128,18364,203822
8192,1473,-1,358.493,122.774,8192,8192,24085,18171,203377
8192,7106,-1,346.774,123.061,8192,8192,23847,18389,202104
8192,854,-1,363.248,121.676,8192,8192,23835,18236,201949
8192,7391,-1,358.607,123.803,8192,8192,24090,18494,203902
8192,1458,-1,352.037,126.708,8192,8192,23945,18275,202679
8192,174,-1,353.549,126.368,8192,8192,24097,18476,203884
8192,5152,-1,372.714,123.645,8192,8192,24094,18469,203488
8192,7247,-1,345.902,121.115,8192,8192,23874,18229,201883
8192,4890,-1,345.258,121.666,8192,8192,24136,18558,203789
8192,7097,-1,342.914,118.911,8192,8192,23923,18230,202349
8192,6980,-1,353.594,120.837,8192,8192,24345,18437,205291
8192,773,-1,362.841,121.727,8192,8192,24130,18297,203982
8192,1933,-1,348.341,143.099,8192,8192,24154,18409,204164
8192,2993,-1,368.902,128.229,8192,8192,24197,18414,204457
8192,4657,-1,368.775,124.673,8192,8192,24051,18208,203343
8192,1340,-1,356.046,125.007,8192,8192,24321,18543,205421
8192,6730,-1,351.122,128.677,8192,8192,23953,18237,202671
8192,6147,-1,362.186,123.568,8192,8192,24050,18298,203412
8192,4736,-1,346.199,125.791,8192,8192,24163,18570,204127
8192,7500,-1,357.771,129.813,8192,8192,24068,18209,203680
8192,6530,-1,364.08,119.955,8192,8192,24242,18439,204660
8192,1369,-1,358.373,127.102,8192,8192,24158,18682,203942
8192,1217,-1,354.124,126.755,8192,8192,23957,18293,202920
8192,2377,-1,349.666,120.851,8192,8192,24065,18324,203335
8192,2860,-1,344.43,120.996,8192,8192,24221,18514,204519
8192,482,-1,360.656,127.032,8192,8192,24017,18451,203240
16384,15470,-1,403.489,132.05,16384,16384,40558,30932,384702
16384,7988,-1,405.88,130.095,16384,16384,40743,30703,386018
16384,14863,-1,397.107,126.892,16384,16384,40815,31008,386859
16384,9500,-1,399.444,132.36,16384,16384,40662,31057,385352
16384,11648,-1,392.682,128.827,16384,16384,40544,30882,384605
16384,12728,-1,384.634,131.34,16384,16384,40609,30915,385250
16384,10354,-1,384.676,128.016,16384,16384,40428,30796,383894
16384,4816,-1,383.589,132.993,16384,16384,40798,31159,386265
16384,5040,-1,380.95,132.41,16384,16384,40587,30576,385271
16384,13327,-1,369.206,133.957,16384,16384,40658,31180,385585
16384,7056,-1,371.178,135.661,16384,16384,40840,30840,386500
16384,8643,-1,377.881,134.697,16384,16384,40609,30796,384932
16384,2217,-1,393.598,141.799,16384,16384,40776,30929,386395
16384,4929,-1,393.055,127.346,16384,16384,40647,30764,385466
16384,9684,-1,398.532,132.103,16384,16384,40742,31005,386135
16384,715,-1,422.645,134.79,16384,16384,40680,30869,385545
16384,8667,-1,374.649,127.167,16384,16384,40726,31111,386035
16384,12801,-1,399.786,130.738,16384,16384,41012,31102,387836
16384,169,-1,394.804,129.949,16384,16384,40744,30928,385927
16384,16374,-1,388.404,130.158,16384,16384,40811,30860,386503
16384,7264,-1,387.982,128.23,16384,16384,40474,30904,384179
16384,4061,-1,385.257,132.092,16384,16384,40614,30771,385563
16384,9435,-1,384.05,132.484,16384,16384,40413,30728,383738
16384,5463,-1,407.196,129.422,16384,16384,40752,30949,386078
16384,16034,-1,405.325,126.635,16384,16384,40600,31069,384749
16384,14775,-1,375.423,126.263,16384,16384,40592,30682,384958
16384,2510,-1,377.227,127.058,16384,16384,40640,31031,385320
16384,15970,-1,377.74,126.527,16384,16384,40478,30829,384107
16384,12003,-1,383.905,125.858,16384,16384,40438,30601,383498
16384,3382,-1,376.475,125.264,16384,16384,40734,30890,386184
32768,26160,-1,441.976,135.823,32768,32768,63734,48466,681349
32768,25257,-1,452.926,139.251,32768,32768,63700,48221,681619
32768,4003,-1,475.603,139.265,32768,32768,63314,47949,678550
32768,8193,-1,458.531,143.884,32768,32768,63288,47931,678191
32768,10610,-1,461.489,138.754,32768,32768,63107,47942,677327
32768,278,-1,465.982,141.77,32768,32768,63428,48687,679365
32768,12871,-1,443.202,143.469,32768,32768,63677,48506,681004
32768,5022,-1,448.212,142.03,32768,32768,63555,48579,680248
32768,7611,-1,458.904,136.915,32768,32768,63574,48195,680301
32768,29306,-1,468.885,136.675,32768,32768,63466,48396,679427
32768,1255,-1,463.124,138.352,32768,32768,63274,48302,677565
32768,8025,-1,439.163,135.241,32768,32768,63421,48544,678951
32768,7020,-1,438.024,134.578,32768,32768,63156,48160,677233
32768,5165,-1,437.994,135.547,32768,32768,63445,47760,679379
32768,29731,-1,435.048,134.751,32768,32768,63337,48173,678539
32768,32287,-1,435.535,135.695,32768,32768,63504,48210,679980
32768,609,-1,434.928,135.201,32768,32768,63207,48322,677612
32768,23920,-1,459.168,152.217,32768,32768,63216,48136,677528
32768,7695,-1,435.572,135.324,32768,32768,63366,48252,678920
32768,12556,-1,440.1,135.969,32768,32768,63127,48195,676903
