Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
23947347,17012801,-1,29717,8373.88,23947347,23947347,1719914,1307558,95990088
23947347,3317572,-1,29147.3,7780.98,23947347,23947347,1723187,1453756,93339024
23947347,21159583,-1,28971.4,8431.5,23947347,23947347,1709989,1287698,96110996
23947347,6544277,-1,28919.7,8635.11,23947347,23947347,1719393,1241910,97586593
23947347,15599361,-1,29897.7,7751.43,23947347,23947347,1722559,1424778,93896064
23947347,2482969,-1,29071.4,7639.32,23947347,23947347,1721625,1465835,92799625
23947347,22935859,-1,28982.3,7987.19,23947347,23947347,1718831,1384932,94939669
23947347,15628507,-1,28982.2,8032.8,23947347,23947347,1719255,1364138,95130602
23947347,4300794,-1,29001.9,7699.73,23947347,23947347,1722273,1461870,92896789
23947347,8416153,-1,29527,8761.26,23947347,23947347,1723453,1205710,97458786
23947347,9770514,-1,29062.5,8354.29,23947347,23947347,1709771,1304563,95757166
23947347,20786969,-1,29076.1,8224.11,23947347,23947347,1716677,1347447,95345473
23947347,20776623,-1,29042.7,8024.52,23947347,23947347,1718923,1386157,94857109
23947347,7827848,-1,28945.7,8569.32,23947347,23947347,1718126,1284898,96362565
23947347,6075831,-1,28978.1,8531.48,23947347,23947347,1719648,1276139,96740953
23947347,9702141,-1,28985.2,8322.26,23947347,23947347,1709350,1312017,95565335
23947347,21676724,-1,28965.4,7901.14,23947347,23947347,1718717,1404693,94414427
23947347,12429316,-1,29117.7,7969.76,23947347,23947347,1719029,1409420,94214257
23947347,7815231,-1,29074.7,8575.17,23947347,23947347,1716518,1291347,96332383
23947347,5640789,-1,29028.1,7936.82,23947347,23947347,1723859,1364105,94998320
23947347,18572461,-1,29132.3,8358.37,23947347,23947347,1709998,1284480,96008735
23947347,9719118,-1,29465,8273.27,23947347,23947347,1708966,1327845,95255787
23947347,8861782,-1,29154.7,8413.87,23947347,23947347,1711268,1297762,95900781
23947347,13977143,-1,29522.3,8740.33,23947347,23947347,1721336,1187044,97800043
23947347,10684457,-1,29047.5,8710.77,23947347,23947347,1720575,1204005,97893808
23947347,9938655,-1,29039.7,7719.43,23947347,23947347,1717736,1467331,92720369
23947347,146691,-1,29017,8434.44,23947347,23947347,1715972,1309046,95693015
23947347,10497389,-1,28968.3,8290.61,23947347,23947347,1717670,1312187,95810684
23947347,6045606,-1,28963.9,8541.92,23947347,23947347,1719687,1264747,96750913
23947347,11088156,-1,29138.4,8295.45,23947347,23947347,1711037,1330869,95247719
