Graph,Run_ID,Algo_Time_ms,Memory_MB
graphs/USA.gr,1,8373.88,4271.46
graphs/USA.gr,2,7780.98,4271.38
graphs/USA.gr,3,8431.5,4271.44
graphs/USA.gr,4,8635.11,4271.48
graphs/USA.gr,5,7751.43,4271.21
graphs/USA.gr,6,7639.32,4271.41
graphs/USA.gr,7,7987.19,4271.43
graphs/USA.gr,8,8032.8,4271.35
graphs/USA.gr,9,7699.73,4271.39
graphs/USA.gr,10,8761.26,4271.46
graphs/USA.gr,11,8354.29,4271.35
graphs/USA.gr,12,8224.11,4271.39
graphs/USA.gr,13,8024.52,4271.24
graphs/USA.gr,14,8569.32,4271.46
graphs/USA.gr,15,8531.48,4271.50
graphs/USA.gr,16,8322.26,4271.45
graphs/USA.gr,17,7901.14,4271.39
graphs/USA.gr,18,7969.76,4271.31
graphs/USA.gr,19,8575.17,4271.51
graphs/USA.gr,20,7936.82,4271.43
graphs/USA.gr,21,8358.37,4271.45
graphs/USA.gr,22,8273.27,4271.36
graphs/USA.gr,23,8413.87,4271.47
graphs/USA.gr,24,8740.33,4271.29
graphs/USA.gr,25,8710.77,4271.35
graphs/USA.gr,26,7719.43,4271.31
graphs/USA.gr,27,8434.44,4271.46
graphs/USA.gr,28,8290.61,4271.48
graphs/USA.gr,29,8541.92,4271.45
graphs/USA.gr,30,8295.45,4271.32
