k,n,m,alpha,sift_up,sift_down,r_up,r_down,insert,deletemin,update,i,d,u,noshita_expected,Algo_Time_ms
2,100000,200000,1.060,49035,1307234,0.028,0.736,99998,99998,6976,1.000,1.000,0.035,69314.718,38.1407
3,100000,200000,1.060,23453,859725,0.021,0.767,99998,99998,6981,1.000,1.000,0.035,69314.718,31.0747
4,100000,200000,1.060,17022,691291,0.019,0.778,99998,99998,6977,1.000,1.000,0.035,69314.718,30.1245
5,100000,200000,1.060,13324,601683,0.017,0.787,99998,99998,6829,1.000,1.000,0.034,69314.718,32.5703
8,100000,200000,1.060,8072,485050,0.014,0.819,99998,99998,6957,1.000,1.000,0.035,69314.718,31.6425
16,100000,200000,1.060,4240,381052,0.010,0.859,99998,99998,6893,1.000,1.000,0.034,69314.718,31.6809
2,100000,200000,1.060,48927,1305223,0.028,0.735,100000,100000,6893,1.000,1.000,0.034,69314.718,35.8275
3,100000,200000,1.060,24018,858480,0.021,0.766,100000,100000,6892,1.000,1.000,0.034,69314.718,35.2288
4,100000,200000,1.060,16917,690882,0.019,0.778,100000,100000,6986,1.000,1.000,0.035,69314.718,31.1615
5,100000,200000,1.060,13055,601581,0.017,0.787,100000,100000,6822,1.000,1.000,0.034,69314.718,30.4503
8,100000,200000,1.060,8043,485131,0.014,0.819,100000,100000,6973,1.000,1.000,0.035,69314.718,29.9465
16,100000,200000,1.060,4388,381736,0.010,0.859,100000,100000,7083,1.000,1.000,0.035,69314.718,32.1309
2,100000,200000,1.060,48127,1304197,0.027,0.735,99998,99998,6847,1.000,1.000,0.034,69314.718,34.6825
3,100000,200000,1.060,23766,858823,0.021,0.767,99998,99998,6898,1.000,1.000,0.034,69314.718,30.5349
4,100000,200000,1.060,16931,691731,0.019,0.778,99998,99998,7064,1.000,1.000,0.035,69314.718,31.7891
5,100000,200000,1.060,13205,602754,0.017,0.787,99998,99998,7074,1.000,1.000,0.035,69314.718,30.2665
8,100000,200000,1.060,8007,485179,0.014,0.820,99998,99998,6919,1.000,1.000,0.035,69314.718,30.3279
16,100000,200000,1.060,4353,381798,0.010,0.859,99998,99998,7011,1.000,1.000,0.035,69314.718,30.8692
2,100000,200000,1.060,48491,1306982,0.027,0.735,100000,100000,7015,1.000,1.000,0.035,69314.718,34.9676
3,100000,200000,1.060,23925,859066,0.021,0.767,100000,100000,6882,1.000,1.000,0.034,69314.718,36.3755
4,100000,200000,1.060,16789,689869,0.019,0.777,100000,100000,6875,1.000,1.000,0.034,69314.718,30.619
