n,m,I,D,U,Algo_Time_ms
1048576,1482910,1048567,1048567,15982,493.612
1048576,1482910,1048567,1048567,16119,456.198
1048576,1482910,1048567,1048567,15925,473.459
1048576,1482910,1048567,1048567,16111,456.081
1048576,1482910,1048567,1048567,15931,458.35
1048576,1482910,1048567,1048567,16100,493.797
1048576,1482910,1048567,1048567,16070,477.995
1048576,1482910,1048567,1048567,16039,515.093
1048576,1482910,1048567,1048567,15901,488.716
1048576,1482910,1048567,1048567,15877,487.561
1048576,1482910,1048567,1048567,16121,472.101
1048576,1482910,1048567,1048567,15892,475.786
1048576,1482910,1048567,1048567,15994,491.935
1048576,1482910,1048567,1048567,16022,490.946
1048576,1482910,1048567,1048567,16170,466.383
1048576,1482910,1048567,1048567,15763,477.481
1048576,1482910,1048567,1048567,16105,476.306
1048576,1482910,1048567,1048567,16064,479.385
1048576,1482910,1048567,1048567,15913,465.889
1048576,1482910,1048567,1048567,16094,464.985
1048576,1482910,1048567,1048567,15813,500.772
1048576,1482910,1048567,1048567,16027,458.986
1048576,1482910,1048567,1048567,16226,464.297
1048576,1482910,1048567,1048567,16157,490.033
1048576,1482910,1048567,1048567,15808,475.196
1048576,1482910,1048567,1048567,16247,468.586
1048576,1482910,1048567,1048567,15982,480.094
1048576,1482910,1048567,1048567,16319,454.698
1048576,1482910,1048567,1048567,16152,477.54
1048576,1482910,1048567,1048567,15762,469.018
1048576,2097152,1048576,1048576,73317,626.479
1048576,2097152,1048576,1048576,73185,565.921
1048576,2097152,1048576,1048576,73444,565.144
1048576,2097152,1048576,1048576,73084,565.27
1048576,2097152,1048576,1048576,72919,576.986
1048576,2097152,1048576,1048576,73399,575.596
1048576,2097152,1048576,1048576,73128,569.339
1048576,2097152,1048576,1048576,72756,623.531
1048576,2097152,1048576,1048576,73080,630.393
1048576,2097152,1048576,1048576,72861,599.773
1048576,2097152,1048576,1048576,73066,629.556
1048576,2097152,1048576,1048576,72720,617.817
1048576,2097152,1048576,1048576,72967,629.105
1048576,2097152,1048576,1048576,73376,629.81
1048576,2097152,1048576,1048576,73770,598.836
1048576,2097152,1048576,1048576,73226,628.374
1048576,2097152,1048576,1048576,73353,574.772
1048576,2097152,1048576,1048576,73114,629.525
1048576,2097152,1048576,1048576,72929,628.451
1048576,2097152,1048576,1048576,73093,611.825
1048576,2097152,1048576,1048576,73400,629.499
1048576,2097152,1048576,1048576,73040,623.428
1048576,2097152,1048576,1048576,72950,627.937
1048576,2097152,1048576,1048576,73327,629.343
1048576,2097152,1048576,1048576,72836,590.44
1048576,2097152,1048576,1048576,73009,625.206
1048576,2097152,1048576,1048576,73165,599.382
1048576,2097152,1048576,1048576,72498,624.456
1048576,2097152,1048576,1048576,73492,620.474
1048576,2097152,1048576,1048576,72896,612.567
1048576,2965820,1048576,1048576,180422,770.664
1048576,2965820,1048576,1048576,180648,791.393
1048576,2965820,1048576,1048576,180866,722.563
1048576,2965820,1048576,1048576,180724,722.902
1048576,2965820,1048576,1048576,181475,722.886
1048576,2965820,1048576,1048576,181060,717.748
1048576,2965820,1048576,1048576,181784,783.499
1048576,2965820,1048576,1048576,180923,738.28
1048576,2965820,1048576,1048576,180445,791.825
1048576,2965820,1048576,1048576,180632,721.341
1048576,2965820,1048576,1048576,181031,720.633
1048576,2965820,1048576,1048576,181430,717.989
1048576,2965820,1048576,1048576,181046,795.361
1048576,2965820,1048576,1048576,181069,779.435
1048576,2965820,1048576,1048576,180827,717.246
1048576,2965820,1048576,1048576,181447,716.2
1048576,2965820,1048576,1048576,180987,734.781
1048576,2965820,1048576,1048576,181896,721.246
1048576,2965820,1048576,1048576,180860,717.055
1048576,2965820,1048576,1048576,180684,790.713
1048576,2965820,1048576,1048576,180691,720.665
1048576,2965820,1048576,1048576,180962,718.31
1048576,2965820,1048576,1048576,181468,718.835
1048576,2965820,1048576,1048576,180462,778.996
1048576,2965820,1048576,1048576,181326,733.551
1048576,2965820,1048576,1048576,181071,757.82
1048576,2965820,1048576,1048576,181045,792.907
1048576,2965820,1048576,1048576,181599,721.065
1048576,2965820,1048576,1048576,181479,791.704
1048576,2965820,1048576,1048576,180650,791.912
1048576,4194304,1048576,1048576,344258,944.95
1048576,4194304,1048576,1048576,345335,944.672
1048576,4194304,1048576,1048576,344950,946.587
1048576,4194304,1048576,1048576,345418,953.289
1048576,4194304,1048576,1048576,345150,952.513
1048576,4194304,1048576,1048576,344445,950.918
1048576,4194304,1048576,1048576,344231,950.619
1048576,4194304,1048576,1048576,344896,978.423
1048576,4194304,1048576,1048576,344519,956.072
1048576,4194304,1048576,1048576,343827,969.098
1048576,4194304,1048576,1048576,344357,1013
1048576,4194304,1048576,1048576,344799,957.255
1048576,4194304,1048576,1048576,344589,1042.46
1048576,4194304,1048576,1048576,344558,946.103
1048576,4194304,1048576,1048576,345018,952.598
1048576,4194304,1048576,1048576,344381,947.901
1048576,4194304,1048576,1048576,345286,945.885
1048576,4194304,1048576,1048576,345121,942.227
1048576,4194304,1048576,1048576,344604,1015.7
1048576,4194304,1048576,1048576,344417,1036.49
1048576,4194304,1048576,1048576,344588,948.158
1048576,4194304,1048576,1048576,345089,949.538
1048576,4194304,1048576,1048576,344305,1047.37
1048576,4194304,1048576,1048576,345584,950.531
1048576,4194304,1048576,1048576,344967,981.52
1048576,4194304,1048576,1048576,344279,958.47
1048576,4194304,1048576,1048576,344961,960.258
1048576,4194304,1048576,1048576,345468,956.836
1048576,4194304,1048576,1048576,345972,1006.13
1048576,4194304,1048576,1048576,345963,952.07
1048576,5931641,1048576,1048576,560659,1261.85
1048576,5931641,1048576,1048576,560988,1265.94
1048576,5931641,1048576,1048576,561591,1260.05
1048576,5931641,1048576,1048576,560081,1260.56
1048576,5931641,1048576,1048576,559843,1271.88
1048576,5931641,1048576,1048576,560811,1228.6
1048576,5931641,1048576,1048576,559699,1268.67
1048576,5931641,1048576,1048576,560641,1270.68
1048576,5931641,1048576,1048576,560374,1268.12
1048576,5931641,1048576,1048576,560293,1274.3
1048576,5931641,1048576,1048576,561262,1259.35
1048576,5931641,1048576,1048576,559065,1266.4
1048576,5931641,1048576,1048576,560410,1269.65
1048576,5931641,1048576,1048576,561093,1259.58
1048576,5931641,1048576,1048576,561197,1267.68
1048576,5931641,1048576,1048576,561106,1264.47
1048576,5931641,1048576,1048576,562043,1238.78
1048576,5931641,1048576,1048576,560060,1269.07
1048576,5931641,1048576,1048576,560634,1264.72
1048576,5931641,1048576,1048576,560515,1270.36
