n,weight_regime,rep,val_BF,val_JD,abs_diff,pass
100,mixed,0,-762400.0,-762400.0,0.0,True
100,mixed,1,-761700.0,-761700.0,0.0,True
100,mixed,2,-761000.0,-761000.0,0.0,True
100,mixed,3,-760300.0,-760300.0,0.0,True
100,mixed,4,-759600.0,-759600.0,0.0,True
100,mixed,5,-758900.0,-758900.0,0.0,True
100,mixed,6,-758200.0,-758200.0,0.0,True
100,mixed,7,-757500.0,-757500.0,0.0,True
100,mixed,8,-756800.0,-756800.0,0.0,True
100,mixed,9,-756100.0,-756100.0,0.0,True
100,mixed,10,-755400.0,-755400.0,0.0,True
100,mixed,11,-754700.0,-754700.0,0.0,True
100,mixed,12,-754000.0,-754000.0,0.0,True
100,mixed,13,-753300.0,-753300.0,0.0,True
100,mixed,14,-752600.0,-752600.0,0.0,True
100,mixed,15,-751900.0,-751900.0,0.0,True
100,mixed,16,-751200.0,-751200.0,0.0,True
100,mixed,17,-750500.0,-750500.0,0.0,True
100,mixed,18,-749800.0,-749800.0,0.0,True
100,mixed,19,-749100.0,-749100.0,0.0,True
100,negative,0,-762400.0,-762400.0,0.0,True
100,negative,1,-761700.0,-761700.0,0.0,True
100,negative,2,-761000.0,-761000.0,0.0,True
100,negative,3,-760300.0,-760300.0,0.0,True
100,negative,4,-759600.0,-759600.0,0.0,True
100,negative,5,-758900.0,-758900.0,0.0,True
100,negative,6,-758200.0,-758200.0,0.0,True
100,negative,7,-757500.0,-757500.0,0.0,True
100,negative,8,-756800.0,-756800.0,0.0,True
100,negative,9,-756100.0,-756100.0,0.0,True
100,negative,10,-755400.0,-755400.0,0.0,True
100,negative,11,-754700.0,-754700.0,0.0,True
100,negative,12,-754000.0,-754000.0,0.0,True
100,negative,13,-753300.0,-753300.0,0.0,True
100,negative,14,-752600.0,-752600.0,0.0,True
100,negative,15,-751900.0,-751900.0,0.0,True
100,negative,16,-751200.0,-751200.0,0.0,True
100,negative,17,-750500.0,-750500.0,0.0,True
100,negative,18,-749800.0,-749800.0,0.0,True
100,negative,19,-749100.0,-749100.0,0.0,True
100,positive,0,237600.0,237600.0,0.0,True
100,positive,1,238300.0,238300.0,0.0,True
100,positive,2,239000.0,239000.0,0.0,True
100,positive,3,239700.0,239700.0,0.0,True
100,positive,4,240400.0,240400.0,0.0,True
100,positive,5,241100.0,241100.0,0.0,True
100,positive,6,241800.0,241800.0,0.0,True
100,positive,7,242500.0,242500.0,0.0,True
100,positive,8,243200.0,243200.0,0.0,True
100,positive,9,243900.0,243900.0,0.0,True
100,positive,10,244600.0,244600.0,0.0,True
100,positive,11,245300.0,245300.0,0.0,True
100,positive,12,246000.0,246000.0,0.0,True
100,positive,13,246700.0,246700.0,0.0,True
100,positive,14,247400.0,247400.0,0.0,True
100,positive,15,248100.0,248100.0,0.0,True
100,positive,16,248800.0,248800.0,0.0,True
100,positive,17,249500.0,249500.0,0.0,True
100,positive,18,250200.0,250200.0,0.0,True
100,positive,19,250900.0,250900.0,0.0,True
500,mixed,0,-119012000.0,-119012000.0,0.0,True
500,mixed,1,-119008000.0,-119008000.0,0.0,True
500,mixed,2,-119005000.0,-119005000.0,0.0,True
500,mixed,3,-119002000.0,-119002000.0,0.0,True
500,mixed,4,-118998000.0,-118998000.0,0.0,True
500,mixed,5,-118994000.0,-118994000.0,0.0,True
500,mixed,6,-118991000.0,-118991000.0,0.0,True
500,mixed,7,-118988000.0,-118988000.0,0.0,True
500,mixed,8,-118984000.0,-118984000.0,0.0,True
500,mixed,9,-118980000.0,-118980000.0,0.0,True
500,mixed,10,-118977000.0,-118977000.0,0.0,True
500,mixed,11,-118974000.0,-118974000.0,0.0,True
500,mixed,12,-118970000.0,-118970000.0,0.0,True
500,mixed,13,-118966000.0,-118966000.0,0.0,True
500,mixed,14,-118963000.0,-118963000.0,0.0,True
500,mixed,15,-118960000.0,-118960000.0,0.0,True
500,mixed,16,-118956000.0,-118956000.0,0.0,True
500,mixed,17,-118952000.0,-118952000.0,0.0,True
500,mixed,18,-118949000.0,-118949000.0,0.0,True
500,mixed,19,-118946000.0,-118946000.0,0.0,True
500,negative,0,-119012000.0,-119012000.0,0.0,True
500,negative,1,-119008000.0,-119008000.0,0.0,True
500,negative,2,-119005000.0,-119005000.0,0.0,True
500,negative,3,-119002000.0,-119002000.0,0.0,True
500,negative,4,-118998000.0,-118998000.0,0.0,True
500,negative,5,-118994000.0,-118994000.0,0.0,True
500,negative,6,-118991000.0,-118991000.0,0.0,True
500,negative,7,-118988000.0,-118988000.0,0.0,True
500,negative,8,-118984000.0,-118984000.0,0.0,True
500,negative,9,-118980000.0,-118980000.0,0.0,True
500,negative,10,-118977000.0,-118977000.0,0.0,True
500,negative,11,-118974000.0,-118974000.0,0.0,True
500,negative,12,-118970000.0,-118970000.0,0.0,True
500,negative,13,-118966000.0,-118966000.0,0.0,True
500,negative,14,-118963000.0,-118963000.0,0.0,True
500,negative,15,-118960000.0,-118960000.0,0.0,True
500,negative,16,-118956000.0,-118956000.0,0.0,True
500,negative,17,-118952000.0,-118952000.0,0.0,True
500,negative,18,-118949000.0,-118949000.0,0.0,True
500,negative,19,-118946000.0,-118946000.0,0.0,True
500,positive,0,5988000.0,5988000.0,0.0,True
500,positive,1,5991500.0,5991500.0,0.0,True
500,positive,2,5995000.0,5995000.0,0.0,True
500,positive,3,5998500.0,5998500.0,0.0,True
500,positive,4,6002000.0,6002000.0,0.0,True
500,positive,5,6005500.0,6005500.0,0.0,True
500,positive,6,6009000.0,6009000.0,0.0,True
500,positive,7,6012500.0,6012500.0,0.0,True
500,positive,8,6016000.0,6016000.0,0.0,True
500,positive,9,6019500.0,6019500.0,0.0,True
500,positive,10,6023000.0,6023000.0,0.0,True
500,positive,11,6026500.0,6026500.0,0.0,True
500,positive,12,6030000.0,6030000.0,0.0,True
500,positive,13,6033500.0,6033500.0,0.0,True
500,positive,14,6037000.0,6037000.0,0.0,True
500,positive,15,6040500.0,6040500.0,0.0,True
500,positive,16,6044000.0,6044000.0,0.0,True
500,positive,17,6047500.0,6047500.0,0.0,True
500,positive,18,6051000.0,6051000.0,0.0,True
500,positive,19,6054500.0,6054500.0,0.0,True
1000,mixed,0,-976024000.0,-976024000.0,0.0,True
1000,mixed,1,-976017000.0,-976017000.0,0.0,True
1000,mixed,2,-976010000.0,-976010000.0,0.0,True
1000,mixed,3,-976003000.0,-976003000.0,0.0,True
1000,mixed,4,-975996000.0,-975996000.0,0.0,True
1000,mixed,5,-975989000.0,-975989000.0,0.0,True
1000,mixed,6,-975982000.0,-975982000.0,0.0,True
