n,alpha,HK_mean_iters,HK_mean_edges
100,1.0,2.2,260.1666666666667
100,1.5,2.1333333333333333,2464.9
100,2.0,1.0,15050.0
500,1.0,2.433333333333333,1320.3333333333333
500,1.5,2.0,24394.433333333334
500,2.0,1.0,375250.0
1000,1.0,2.933333333333333,2888.5
1000,1.5,2.0,67886.16666666667
1000,2.0,1.0,1500500.0
2000,1.0,3.2666666666666666,6151.133333333333
2000,1.5,2.0,186394.43333333332
2000,2.0,1.0,6001000.0
5000,1.0,3.566666666666667,16040.433333333332
5000,1.5,2.0,731346.9
5000,2.0,1.0,37502500.0
10000,1.0,4.133333333333334,34981.4
10000,1.5,2.0,2054084.6666666667
10000,2.0,1.0,150005000.0
