n,alpha,algorithm,rep,returned_size,oracle_size,correct
6,2.0,SimpleAugmentingMatcher,20,6.0,6.0,True
6,2.0,HopcroftKarpMatcher,20,6.0,6.0,True
6,2.0,HopcroftKarpMatcher,20,6.0,6.0,True
5,1.0,SimpleAugmentingMatcher,40,3.0,3.0,True
5,1.0,HopcroftKarpMatcher,40,3.0,3.0,True
5,1.0,HopcroftKarpMatcher,40,3.0,3.0,True
4,2.0,SimpleAugmentingMatcher,27,4.0,4.0,True
4,2.0,HopcroftKarpMatcher,27,4.0,4.0,True
4,2.0,HopcroftKarpMatcher,27,4.0,4.0,True
6,1.0,SimpleAugmentingMatcher,2,3.0,3.0,True
6,1.0,HopcroftKarpMatcher,2,3.0,3.0,True
6,1.0,HopcroftKarpMatcher,2,3.0,3.0,True
4,2.0,SimpleAugmentingMatcher,15,4.0,4.0,True
4,2.0,HopcroftKarpMatcher,15,4.0,4.0,True
4,2.0,HopcroftKarpMatcher,15,4.0,4.0,True
4,1.0,SimpleAugmentingMatcher,11,3.0,3.0,True
4,1.0,HopcroftKarpMatcher,11,3.0,3.0,True
4,1.0,HopcroftKarpMatcher,11,3.0,3.0,True
6,1.0,SimpleAugmentingMatcher,19,4.0,4.0,True
6,1.0,HopcroftKarpMatcher,19,4.0,4.0,True
6,1.0,HopcroftKarpMatcher,19,4.0,4.0,True
3,2.0,SimpleAugmentingMatcher,2,3.0,3.0,True
3,2.0,HopcroftKarpMatcher,2,3.0,3.0,True
3,2.0,HopcroftKarpMatcher,2,3.0,3.0,True
2,1.5,SimpleAugmentingMatcher,43,2.0,2.0,True
2,1.5,HopcroftKarpMatcher,43,2.0,2.0,True
2,1.5,HopcroftKarpMatcher,43,2.0,2.0,True
6,2.0,SimpleAugmentingMatcher,27,6.0,6.0,True
6,2.0,HopcroftKarpMatcher,27,6.0,6.0,True
6,2.0,HopcroftKarpMatcher,27,6.0,6.0,True
4,1.5,SimpleAugmentingMatcher,32,4.0,4.0,True
4,1.5,HopcroftKarpMatcher,32,4.0,4.0,True
4,1.5,HopcroftKarpMatcher,32,4.0,4.0,True
6,2.0,SimpleAugmentingMatcher,49,6.0,6.0,True
6,2.0,HopcroftKarpMatcher,49,6.0,6.0,True
6,2.0,HopcroftKarpMatcher,49,6.0,6.0,True
5,1.0,SimpleAugmentingMatcher,29,2.0,2.0,True
5,1.0,HopcroftKarpMatcher,29,2.0,2.0,True
5,1.0,HopcroftKarpMatcher,29,2.0,2.0,True
2,2.0,SimpleAugmentingMatcher,41,2.0,2.0,True
2,2.0,HopcroftKarpMatcher,41,2.0,2.0,True
2,2.0,HopcroftKarpMatcher,41,2.0,2.0,True
4,1.5,SimpleAugmentingMatcher,16,3.0,3.0,True
4,1.5,HopcroftKarpMatcher,16,3.0,3.0,True
4,1.5,HopcroftKarpMatcher,16,3.0,3.0,True
2,1.0,SimpleAugmentingMatcher,25,2.0,2.0,True
2,1.0,HopcroftKarpMatcher,25,2.0,2.0,True
2,1.0,HopcroftKarpMatcher,25,2.0,2.0,True
6,1.0,SimpleAugmentingMatcher,5,4.0,4.0,True
6,1.0,HopcroftKarpMatcher,5,4.0,4.0,True
6,1.0,HopcroftKarpMatcher,5,4.0,4.0,True
3,2.0,SimpleAugmentingMatcher,13,3.0,3.0,True
3,2.0,HopcroftKarpMatcher,13,3.0,3.0,True
3,2.0,HopcroftKarpMatcher,13,3.0,3.0,True
5,1.0,SimpleAugmentingMatcher,26,4.0,4.0,True
5,1.0,HopcroftKarpMatcher,26,4.0,4.0,True
5,1.0,HopcroftKarpMatcher,26,4.0,4.0,True
2,1.5,SimpleAugmentingMatcher,39,1.0,1.0,True
2,1.5,HopcroftKarpMatcher,39,1.0,1.0,True
2,1.5,HopcroftKarpMatcher,39,1.0,1.0,True
4,2.0,SimpleAugmentingMatcher,21,4.0,4.0,True
4,2.0,HopcroftKarpMatcher,21,4.0,4.0,True
4,2.0,HopcroftKarpMatcher,21,4.0,4.0,True
3,1.0,SimpleAugmentingMatcher,8,1.0,1.0,True
3,1.0,HopcroftKarpMatcher,8,1.0,1.0,True
3,1.0,HopcroftKarpMatcher,8,1.0,1.0,True
5,2.0,SimpleAugmentingMatcher,10,5.0,5.0,True
