n,alpha,algorithm,rep,ret_size,ora_size,size_correct,ret_value,ora_value,value_correct
2,1.5,HungarianMatcher+BellmanFordStrategy,0,2.0,2.0,True,-5.0,-5.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,1,1.0,1.0,True,-1.0,-1.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,2,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,3,2.0,2.0,True,-3.0,-3.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,4,2.0,2.0,True,-4.0,-4.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,5,1.0,1.0,True,-1.0,-1.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,6,1.0,1.0,True,-1.0,-1.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,7,1.0,1.0,True,-2.0,-2.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,8,1.0,1.0,True,-2.0,-2.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,9,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,10,1.0,1.0,True,-1.0,-1.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,11,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,12,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,13,1.0,1.0,True,-2.0,-2.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,14,1.0,1.0,True,-3.0,-3.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,15,1.0,1.0,True,-1.0,-1.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,16,2.0,2.0,True,-6.0,-6.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,17,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,18,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,19,1.0,1.0,True,-3.0,-3.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,20,2.0,2.0,True,-5.0,-5.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,21,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,22,2.0,2.0,True,-7.0,-7.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,23,2.0,2.0,True,-3.0,-3.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,24,2.0,2.0,True,-4.0,-4.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,25,2.0,2.0,True,-5.0,-5.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,26,1.0,1.0,True,-1.0,-1.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,27,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,28,2.0,2.0,True,-3.0,-3.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,29,2.0,2.0,True,-4.0,-4.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,30,2.0,2.0,True,-5.0,-5.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,31,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,32,1.0,1.0,True,-2.0,-2.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,33,1.0,1.0,True,-2.0,-2.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,34,1.0,1.0,True,0.0,0.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,35,2.0,2.0,True,-5.0,-5.0,True
2,1.5,HungarianMatcher+BellmanFordStrategy,36,1.0,1.0,True,0.0,0.0,True
