n,alpha,rep,augmentation_count_BF,augmentation_count_JD,matching_value_BF,matching_value_JD,aug_match,val_match,pass
50,1.0,0,26.0,26.0,-29080.0,-29080.0,True,True,True
50,1.0,1,24.0,24.0,-26965.0,-26965.0,True,True,True
50,1.0,2,27.0,27.0,-32776.0,-32776.0,True,True,True
50,1.0,3,25.0,25.0,-33195.0,-33195.0,True,True,True
50,1.0,4,27.0,27.0,-28710.0,-28710.0,True,True,True
50,1.0,5,29.0,29.0,-33212.0,-33212.0,True,True,True
50,1.0,6,27.0,27.0,-29822.0,-29822.0,True,True,True
50,1.0,7,28.0,28.0,-33193.0,-33193.0,True,True,True
50,1.0,8,27.0,27.0,-30729.0,-30729.0,True,True,True
50,1.0,9,26.0,26.0,-34704.0,-34704.0,True,True,True
50,1.5,0,50.0,50.0,-66200.0,-66200.0,True,True,True
50,1.5,1,50.0,50.0,-65850.0,-65850.0,True,True,True
50,1.5,2,50.0,50.0,-65500.0,-65500.0,True,True,True
50,1.5,3,50.0,50.0,-65150.0,-65150.0,True,True,True
50,1.5,4,50.0,50.0,-64800.0,-64800.0,True,True,True
50,1.5,5,50.0,50.0,-64450.0,-64450.0,True,True,True
50,1.5,6,50.0,50.0,-64100.0,-64100.0,True,True,True
50,1.5,7,50.0,50.0,-63750.0,-63750.0,True,True,True
50,1.5,8,50.0,50.0,-63400.0,-63400.0,True,True,True
50,1.5,9,50.0,50.0,-63050.0,-63050.0,True,True,True
50,2.0,0,50.0,50.0,-66200.0,-66200.0,True,True,True
50,2.0,1,50.0,50.0,-65850.0,-65850.0,True,True,True
50,2.0,2,50.0,50.0,-65500.0,-65500.0,True,True,True
50,2.0,3,50.0,50.0,-65150.0,-65150.0,True,True,True
50,2.0,4,50.0,50.0,-64800.0,-64800.0,True,True,True
50,2.0,5,50.0,50.0,-64450.0,-64450.0,True,True,True
50,2.0,6,50.0,50.0,-64100.0,-64100.0,True,True,True
50,2.0,7,50.0,50.0,-63750.0,-63750.0,True,True,True
50,2.0,8,50.0,50.0,-63400.0,-63400.0,True,True,True
50,2.0,9,50.0,50.0,-63050.0,-63050.0,True,True,True
100,1.0,0,54.0,54.0,-403657.0,-403657.0,True,True,True
100,1.0,1,58.0,58.0,-442890.0,-442890.0,True,True,True
100,1.0,2,55.0,55.0,-413492.0,-413492.0,True,True,True
100,1.0,3,56.0,56.0,-426484.0,-426484.0,True,True,True
100,1.0,4,59.0,59.0,-449357.0,-449357.0,True,True,True
100,1.0,5,56.0,56.0,-415291.0,-415291.0,True,True,True
100,1.0,6,56.0,56.0,-412457.0,-412457.0,True,True,True
100,1.0,7,52.0,52.0,-381591.0,-381591.0,True,True,True
100,1.0,8,55.0,55.0,-406332.0,-406332.0,True,True,True
100,1.0,9,53.0,53.0,-386235.0,-386235.0,True,True,True
100,1.5,0,100.0,100.0,-762400.0,-762400.0,True,True,True
100,1.5,1,100.0,100.0,-761700.0,-761700.0,True,True,True
100,1.5,2,100.0,100.0,-761000.0,-761000.0,True,True,True
100,1.5,3,100.0,100.0,-760300.0,-760300.0,True,True,True
100,1.5,4,100.0,100.0,-759600.0,-759600.0,True,True,True
100,1.5,5,100.0,100.0,-758900.0,-758900.0,True,True,True
100,1.5,6,100.0,100.0,-758200.0,-758200.0,True,True,True
100,1.5,7,100.0,100.0,-757500.0,-757500.0,True,True,True
100,1.5,8,100.0,100.0,-756800.0,-756800.0,True,True,True
100,1.5,9,100.0,100.0,-756100.0,-756100.0,True,True,True
100,2.0,0,100.0,100.0,-762400.0,-762400.0,True,True,True
100,2.0,1,100.0,100.0,-761700.0,-761700.0,True,True,True
100,2.0,2,100.0,100.0,-761000.0,-761000.0,True,True,True
100,2.0,3,100.0,100.0,-760300.0,-760300.0,True,True,True
100,2.0,4,100.0,100.0,-759600.0,-759600.0,True,True,True
100,2.0,5,100.0,100.0,-758900.0,-758900.0,True,True,True
100,2.0,6,100.0,100.0,-758200.0,-758200.0,True,True,True
100,2.0,7,100.0,100.0,-757500.0,-757500.0,True,True,True
100,2.0,8,100.0,100.0,-756800.0,-756800.0,True,True,True
100,2.0,9,100.0,100.0,-756100.0,-756100.0,True,True,True
200,1.0,0,108.0,108.0,-3787180.0,-3787180.0,True,True,True
200,1.0,1,107.0,107.0,-3756870.0,-3756870.0,True,True,True
200,1.0,2,110.0,110.0,-3862170.0,-3862170.0,True,True,True
200,1.0,3,114.0,114.0,-3988100.0,-3988100.0,True,True,True
200,1.0,4,113.0,113.0,-3966000.0,-3966000.0,True,True,True
200,1.0,5,111.0,111.0,-3879460.0,-3879460.0,True,True,True
200,1.0,6,118.0,118.0,-4116990.0,-4116990.0,True,True,True
200,1.0,7,112.0,112.0,-3920160.0,-3920160.0,True,True,True
200,1.0,8,104.0,104.0,-3614090.0,-3614090.0,True,True,True
200,1.0,9,107.0,107.0,-3728470.0,-3728470.0,True,True,True
200,1.5,0,200.0,200.0,-7044800.0,-7044800.0,True,True,True
200,1.5,1,200.0,200.0,-7043400.0,-7043400.0,True,True,True
200,1.5,2,200.0,200.0,-7042000.0,-7042000.0,True,True,True
200,1.5,3,200.0,200.0,-7040600.0,-7040600.0,True,True,True
200,1.5,4,200.0,200.0,-7039200.0,-7039200.0,True,True,True
200,1.5,5,200.0,200.0,-7037800.0,-7037800.0,True,True,True
200,1.5,6,200.0,200.0,-7036400.0,-7036400.0,True,True,True
200,1.5,7,200.0,200.0,-7035000.0,-7035000.0,True,True,True
200,1.5,8,200.0,200.0,-7033600.0,-7033600.0,True,True,True
200,1.5,9,200.0,200.0,-7032200.0,-7032200.0,True,True,True
200,2.0,0,200.0,200.0,-7044800.0,-7044800.0,True,True,True
200,2.0,1,200.0,200.0,-7043400.0,-7043400.0,True,True,True
200,2.0,2,200.0,200.0,-7042000.0,-7042000.0,True,True,True
200,2.0,3,200.0,200.0,-7040600.0,-7040600.0,True,True,True
200,2.0,4,200.0,200.0,-7039200.0,-7039200.0,True,True,True
200,2.0,5,200.0,200.0,-7037800.0,-7037800.0,True,True,True
200,2.0,6,200.0,200.0,-7036400.0,-7036400.0,True,True,True
200,2.0,7,200.0,200.0,-7035000.0,-7035000.0,True,True,True
200,2.0,8,200.0,200.0,-7033600.0,-7033600.0,True,True,True
200,2.0,9,200.0,200.0,-7032200.0,-7032200.0,True,True,True
500,1.0,0,275.0,275.0,-65292700.0,-65292700.0,True,True,True
500,1.0,1,276.0,276.0,-65610300.0,-65610300.0,True,True,True
500,1.0,2,278.0,278.0,-65997000.0,-65997000.0,True,True,True
