test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
C1,10000,2,28,SimpleAugmentingMatcher,-1,na,wall_clock_ms,215148
C1,10000,2,28,SimpleAugmentingMatcher,-1,na,matching_size,10000
C1,10000,2,28,HopcroftKarpMatcher,0,na,paths_found_per_phase,10000
C1,10000,2,28,HopcroftKarpMatcher,0,na,bfs_edges_visited,1e+08
C1,10000,2,28,HopcroftKarpMatcher,0,na,dfs_edges_visited,5.0005e+07
C1,10000,2,28,HopcroftKarpMatcher,0,na,defect_at_iteration,0
C1,10000,2,28,HopcroftKarpMatcher,-1,na,phase_count,1
C1,10000,2,28,HopcroftKarpMatcher,-1,na,main_loop_iters,1
C1,10000,2,28,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,1e+08
C1,10000,2,28,HopcroftKarpMatcher,-1,na,total_edges_visited,1.50005e+08
C1,10000,2,28,HopcroftKarpMatcher,-1,na,matching_size,10000
C1,10000,2,28,HopcroftKarpMatcher,-1,na,wall_clock_ms,198.414
C1,10000,2,28,HopcroftKarpMatcher,-1,na,matching_size,10000
C1,1000,2,6,SimpleAugmentingMatcher,-1,na,wall_clock_ms,218.496
C1,1000,2,6,SimpleAugmentingMatcher,-1,na,matching_size,1000
C1,1000,2,6,HopcroftKarpMatcher,0,na,paths_found_per_phase,1000
C1,1000,2,6,HopcroftKarpMatcher,0,na,bfs_edges_visited,1e+06
C1,1000,2,6,HopcroftKarpMatcher,0,na,dfs_edges_visited,500500
C1,1000,2,6,HopcroftKarpMatcher,0,na,defect_at_iteration,0
C1,1000,2,6,HopcroftKarpMatcher,-1,na,phase_count,1
C1,1000,2,6,HopcroftKarpMatcher,-1,na,main_loop_iters,1
C1,1000,2,6,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,1e+06
C1,1000,2,6,HopcroftKarpMatcher,-1,na,total_edges_visited,1.5005e+06
C1,1000,2,6,HopcroftKarpMatcher,-1,na,matching_size,1000
C1,1000,2,6,HopcroftKarpMatcher,-1,na,wall_clock_ms,2.00675
C1,1000,2,6,HopcroftKarpMatcher,-1,na,matching_size,1000
C1,10000,2,19,SimpleAugmentingMatcher,-1,na,wall_clock_ms,215152
C1,10000,2,19,SimpleAugmentingMatcher,-1,na,matching_size,10000
C1,10000,2,19,HopcroftKarpMatcher,0,na,paths_found_per_phase,10000
C1,10000,2,19,HopcroftKarpMatcher,0,na,bfs_edges_visited,1e+08
C1,10000,2,19,HopcroftKarpMatcher,0,na,dfs_edges_visited,5.0005e+07
C1,10000,2,19,HopcroftKarpMatcher,0,na,defect_at_iteration,0
C1,10000,2,19,HopcroftKarpMatcher,-1,na,phase_count,1
C1,10000,2,19,HopcroftKarpMatcher,-1,na,main_loop_iters,1
C1,10000,2,19,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,1e+08
C1,10000,2,19,HopcroftKarpMatcher,-1,na,total_edges_visited,1.50005e+08
C1,10000,2,19,HopcroftKarpMatcher,-1,na,matching_size,10000
C1,10000,2,19,HopcroftKarpMatcher,-1,na,wall_clock_ms,198.45
C1,10000,2,19,HopcroftKarpMatcher,-1,na,matching_size,10000
C1,100,1.5,19,SimpleAugmentingMatcher,-1,na,wall_clock_ms,0.193673
C1,100,1.5,19,SimpleAugmentingMatcher,-1,na,matching_size,100
C1,100,1.5,19,HopcroftKarpMatcher,0,na,paths_found_per_phase,93
C1,100,1.5,19,HopcroftKarpMatcher,0,na,bfs_edges_visited,1000
C1,100,1.5,19,HopcroftKarpMatcher,0,na,dfs_edges_visited,491
C1,100,1.5,19,HopcroftKarpMatcher,0,na,defect_at_iteration,7
C1,100,1.5,19,HopcroftKarpMatcher,1,na,paths_found_per_phase,7
C1,100,1.5,19,HopcroftKarpMatcher,1,na,bfs_edges_visited,567
C1,100,1.5,19,HopcroftKarpMatcher,1,na,dfs_edges_visited,172
C1,100,1.5,19,HopcroftKarpMatcher,1,na,defect_at_iteration,0
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,phase_count,2
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,main_loop_iters,2
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,1567
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,total_edges_visited,2230
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,matching_size,100
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,wall_clock_ms,0.055073
C1,100,1.5,19,HopcroftKarpMatcher,-1,na,matching_size,100
C1,2000,2,21,SimpleAugmentingMatcher,-1,na,wall_clock_ms,1728.68
C1,2000,2,21,SimpleAugmentingMatcher,-1,na,matching_size,2000
C1,2000,2,21,HopcroftKarpMatcher,0,na,paths_found_per_phase,2000
C1,2000,2,21,HopcroftKarpMatcher,0,na,bfs_edges_visited,4e+06
C1,2000,2,21,HopcroftKarpMatcher,0,na,dfs_edges_visited,2.001e+06
C1,2000,2,21,HopcroftKarpMatcher,0,na,defect_at_iteration,0
C1,2000,2,21,HopcroftKarpMatcher,-1,na,phase_count,1
C1,2000,2,21,HopcroftKarpMatcher,-1,na,main_loop_iters,1
C1,2000,2,21,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,4e+06
C1,2000,2,21,HopcroftKarpMatcher,-1,na,total_edges_visited,6.001e+06
C1,2000,2,21,HopcroftKarpMatcher,-1,na,matching_size,2000
C1,2000,2,21,HopcroftKarpMatcher,-1,na,wall_clock_ms,7.98004
C1,2000,2,21,HopcroftKarpMatcher,-1,na,matching_size,2000
C1,100,2,9,SimpleAugmentingMatcher,-1,na,wall_clock_ms,0.251116
C1,100,2,9,SimpleAugmentingMatcher,-1,na,matching_size,100
C1,100,2,9,HopcroftKarpMatcher,0,na,paths_found_per_phase,100
C1,100,2,9,HopcroftKarpMatcher,0,na,bfs_edges_visited,10000
C1,100,2,9,HopcroftKarpMatcher,0,na,dfs_edges_visited,5050
C1,100,2,9,HopcroftKarpMatcher,0,na,defect_at_iteration,0
C1,100,2,9,HopcroftKarpMatcher,-1,na,phase_count,1
C1,100,2,9,HopcroftKarpMatcher,-1,na,main_loop_iters,1
C1,100,2,9,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,10000
C1,100,2,9,HopcroftKarpMatcher,-1,na,total_edges_visited,15050
C1,100,2,9,HopcroftKarpMatcher,-1,na,matching_size,100
C1,100,2,9,HopcroftKarpMatcher,-1,na,wall_clock_ms,0.02644
C1,100,2,9,HopcroftKarpMatcher,-1,na,matching_size,100
C1,100,1.5,6,SimpleAugmentingMatcher,-1,na,wall_clock_ms,0.178852
C1,100,1.5,6,SimpleAugmentingMatcher,-1,na,matching_size,100
C1,100,1.5,6,HopcroftKarpMatcher,0,na,paths_found_per_phase,94
C1,100,1.5,6,HopcroftKarpMatcher,0,na,bfs_edges_visited,1000
C1,100,1.5,6,HopcroftKarpMatcher,0,na,dfs_edges_visited,500
C1,100,1.5,6,HopcroftKarpMatcher,0,na,defect_at_iteration,6
C1,100,1.5,6,HopcroftKarpMatcher,1,na,paths_found_per_phase,6
C1,100,1.5,6,HopcroftKarpMatcher,1,na,bfs_edges_visited,406
C1,100,1.5,6,HopcroftKarpMatcher,1,na,dfs_edges_visited,239
C1,100,1.5,6,HopcroftKarpMatcher,1,na,defect_at_iteration,0
C1,100,1.5,6,HopcroftKarpMatcher,-1,na,phase_count,2
C1,100,1.5,6,HopcroftKarpMatcher,-1,na,main_loop_iters,2
