test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,0,mixed,defect_at_iteration,499
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,1,mixed,defect_at_iteration,498
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,2,mixed,defect_at_iteration,497
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,3,mixed,defect_at_iteration,496
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,4,mixed,defect_at_iteration,495
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,5,mixed,defect_at_iteration,494
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,6,mixed,defect_at_iteration,493
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,7,mixed,defect_at_iteration,492
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,8,mixed,defect_at_iteration,491
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,9,mixed,defect_at_iteration,490
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,10,mixed,defect_at_iteration,489
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,11,mixed,defect_at_iteration,488
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,12,mixed,defect_at_iteration,487
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,13,mixed,defect_at_iteration,486
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,14,mixed,defect_at_iteration,485
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,15,mixed,defect_at_iteration,484
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,16,mixed,defect_at_iteration,483
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,17,mixed,defect_at_iteration,482
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,18,mixed,defect_at_iteration,481
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,19,mixed,defect_at_iteration,480
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,20,mixed,defect_at_iteration,479
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,21,mixed,defect_at_iteration,478
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,22,mixed,defect_at_iteration,477
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,23,mixed,defect_at_iteration,476
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,24,mixed,defect_at_iteration,475
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,25,mixed,defect_at_iteration,474
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,26,mixed,defect_at_iteration,473
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,27,mixed,defect_at_iteration,472
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,28,mixed,defect_at_iteration,471
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,29,mixed,defect_at_iteration,470
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,30,mixed,defect_at_iteration,469
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,31,mixed,defect_at_iteration,468
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,32,mixed,defect_at_iteration,467
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,33,mixed,defect_at_iteration,466
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,34,mixed,defect_at_iteration,465
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,35,mixed,defect_at_iteration,464
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,36,mixed,defect_at_iteration,463
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,37,mixed,defect_at_iteration,462
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,38,mixed,defect_at_iteration,461
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,39,mixed,defect_at_iteration,460
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,40,mixed,defect_at_iteration,459
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,41,mixed,defect_at_iteration,458
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,42,mixed,defect_at_iteration,457
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,43,mixed,defect_at_iteration,456
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,44,mixed,defect_at_iteration,455
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,45,mixed,defect_at_iteration,454
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,46,mixed,defect_at_iteration,453
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,47,mixed,defect_at_iteration,452
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,48,mixed,defect_at_iteration,451
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,49,mixed,defect_at_iteration,450
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,50,mixed,defect_at_iteration,449
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,51,mixed,defect_at_iteration,448
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,52,mixed,defect_at_iteration,447
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,53,mixed,defect_at_iteration,446
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,54,mixed,defect_at_iteration,445
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,55,mixed,defect_at_iteration,444
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,56,mixed,defect_at_iteration,443
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,57,mixed,defect_at_iteration,442
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,58,mixed,defect_at_iteration,441
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,59,mixed,defect_at_iteration,440
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,60,mixed,defect_at_iteration,439
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,61,mixed,defect_at_iteration,438
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,62,mixed,defect_at_iteration,437
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,63,mixed,defect_at_iteration,436
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,64,mixed,defect_at_iteration,435
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,65,mixed,defect_at_iteration,434
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,66,mixed,defect_at_iteration,433
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,67,mixed,defect_at_iteration,432
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,68,mixed,defect_at_iteration,431
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,69,mixed,defect_at_iteration,430
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,70,mixed,defect_at_iteration,429
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,71,mixed,defect_at_iteration,428
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,72,mixed,defect_at_iteration,427
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,73,mixed,defect_at_iteration,426
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,74,mixed,defect_at_iteration,425
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,75,mixed,defect_at_iteration,424
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,76,mixed,defect_at_iteration,423
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,77,mixed,defect_at_iteration,422
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,78,mixed,defect_at_iteration,421
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,79,mixed,defect_at_iteration,420
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,80,mixed,defect_at_iteration,419
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,81,mixed,defect_at_iteration,418
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,82,mixed,defect_at_iteration,417
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,83,mixed,defect_at_iteration,416
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,84,mixed,defect_at_iteration,415
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,85,mixed,defect_at_iteration,414
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,86,mixed,defect_at_iteration,413
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,87,mixed,defect_at_iteration,412
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,88,mixed,defect_at_iteration,411
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,89,mixed,defect_at_iteration,410
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,90,mixed,defect_at_iteration,409
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,91,mixed,defect_at_iteration,408
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,92,mixed,defect_at_iteration,407
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,93,mixed,defect_at_iteration,406
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,94,mixed,defect_at_iteration,405
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,95,mixed,defect_at_iteration,404
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,96,mixed,defect_at_iteration,403
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,97,mixed,defect_at_iteration,402
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,98,mixed,defect_at_iteration,401
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,99,mixed,defect_at_iteration,400
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,100,mixed,defect_at_iteration,399
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,101,mixed,defect_at_iteration,398
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,102,mixed,defect_at_iteration,397
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,103,mixed,defect_at_iteration,396
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,104,mixed,defect_at_iteration,395
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,105,mixed,defect_at_iteration,394
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,106,mixed,defect_at_iteration,393
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,107,mixed,defect_at_iteration,392
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,108,mixed,defect_at_iteration,391
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,109,mixed,defect_at_iteration,390
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,110,mixed,defect_at_iteration,389
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,111,mixed,defect_at_iteration,388
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,112,mixed,defect_at_iteration,387
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,113,mixed,defect_at_iteration,386
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,114,mixed,defect_at_iteration,385
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,115,mixed,defect_at_iteration,384
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,116,mixed,defect_at_iteration,383
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,117,mixed,defect_at_iteration,382
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,118,mixed,defect_at_iteration,381
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,119,mixed,defect_at_iteration,380
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,120,mixed,defect_at_iteration,379
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,121,mixed,defect_at_iteration,378
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,122,mixed,defect_at_iteration,377
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,123,mixed,defect_at_iteration,376
C2,500,1,12,HungarianMatcher+BellmanFordStrategy,124,mixed,defect_at_iteration,375
