test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,0,mixed,defect_at_iteration,99
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,1,mixed,defect_at_iteration,98
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,2,mixed,defect_at_iteration,97
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,3,mixed,defect_at_iteration,96
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,4,mixed,defect_at_iteration,95
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,5,mixed,defect_at_iteration,94
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,6,mixed,defect_at_iteration,93
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,7,mixed,defect_at_iteration,92
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,8,mixed,defect_at_iteration,91
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,9,mixed,defect_at_iteration,90
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,10,mixed,defect_at_iteration,89
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,11,mixed,defect_at_iteration,88
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,12,mixed,defect_at_iteration,87
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,13,mixed,defect_at_iteration,86
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,14,mixed,defect_at_iteration,85
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,15,mixed,defect_at_iteration,84
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,16,mixed,defect_at_iteration,83
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,17,mixed,defect_at_iteration,82
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,18,mixed,defect_at_iteration,81
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,19,mixed,defect_at_iteration,80
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,20,mixed,defect_at_iteration,79
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,21,mixed,defect_at_iteration,78
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,22,mixed,defect_at_iteration,77
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,23,mixed,defect_at_iteration,76
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,24,mixed,defect_at_iteration,75
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,25,mixed,defect_at_iteration,74
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,26,mixed,defect_at_iteration,73
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,27,mixed,defect_at_iteration,72
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,28,mixed,defect_at_iteration,71
W3,100,1,7,HungarianMatcher+BellmanFordStrategy,29,mixed,defect_at_iteration,70
