test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,0,negative,defect_at_iteration,99
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,1,negative,defect_at_iteration,98
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,2,negative,defect_at_iteration,97
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,3,negative,defect_at_iteration,96
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,4,negative,defect_at_iteration,95
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,5,negative,defect_at_iteration,94
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,6,negative,defect_at_iteration,93
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,7,negative,defect_at_iteration,92
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,8,negative,defect_at_iteration,91
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,9,negative,defect_at_iteration,90
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,10,negative,defect_at_iteration,89
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,11,negative,defect_at_iteration,88
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,12,negative,defect_at_iteration,87
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,13,negative,defect_at_iteration,86
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,14,negative,defect_at_iteration,85
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,15,negative,defect_at_iteration,84
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,16,negative,defect_at_iteration,83
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,17,negative,defect_at_iteration,82
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,18,negative,defect_at_iteration,81
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,19,negative,defect_at_iteration,80
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,20,negative,defect_at_iteration,79
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,21,negative,defect_at_iteration,78
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,22,negative,defect_at_iteration,77
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,23,negative,defect_at_iteration,76
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,24,negative,defect_at_iteration,75
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,25,negative,defect_at_iteration,74
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,26,negative,defect_at_iteration,73
W4,100,1.5,0,HungarianMatcher+BellmanFordStrategy,27,negative,defect_at_iteration,72
