Family,ExpType,Algorithm,n,m,Max_Flow,F,F_bar,r,s_bar,t_bar,Time_ms
BasicLine,Density,EK,1002,2009,2557140,514,1006509.00,0.0005,0.5031,1.0033,33.981
BasicLine,Density,FF,1002,2009,2557140,748,2557140.00,0.0003,0.2626,0.5271,69.887
BasicLine,Density,RFF,1002,2009,2557140,723,2557140.00,0.0003,0.0125,0.0193,33.302
BasicLine,Density,FP,1002,2009,2557140,511,42763.77,0.0119,0.5030,1.0055,166.480
BasicLine,Density,EC,1002,2009,2557140,513,42763.77,0.0120,0.5012,1.0023,31.603
BasicLine,Density,Di,1002,2009,2557140,2,1002.00,0.0020,0.0051,3.5311,0.626
BasicLine,Density,EK,1002,2052,2547631,506,1028052.00,0.0005,0.5010,1.0020,45.420
BasicLine,Density,FF,1002,2052,2547631,765,2547631.00,0.0003,0.2607,0.5142,66.050
BasicLine,Density,RFF,1002,2052,2547631,769,2547631.00,0.0003,0.0122,0.0187,34.696
BasicLine,Density,FP,1002,2052,2547631,506,43668.05,0.0116,0.5023,1.0026,159.853
BasicLine,Density,EC,1002,2052,2547631,506,43668.05,0.0116,0.5010,1.0020,31.614
BasicLine,Density,Di,1002,2052,2547631,1,1002.00,0.0010,0.0041,4.1311,0.431
BasicLine,Density,EK,1002,2020,2410324,474,1012020.00,0.0005,0.5010,1.0119,30.521
BasicLine,Density,FF,1002,2020,2410324,694,2410324.00,0.0003,0.2512,0.5071,61.621
BasicLine,Density,RFF,1002,2020,2410324,774,2410324.00,0.0003,0.0165,0.0271,37.493
BasicLine,Density,FP,1002,2020,2410324,474,42825.61,0.0111,0.5023,1.0124,150.105
BasicLine,Density,EC,1002,2020,2410324,474,42825.61,0.0111,0.5010,1.0119,28.448
BasicLine,Density,Di,1002,2020,2410324,1,1002.00,0.0010,0.0042,4.0881,0.385
BasicLine,Density,EK,1002,1996,2439033,486,999996.00,0.0005,0.5010,1.0150,38.257
BasicLine,Density,FF,1002,1996,2439033,657,2439033.00,0.0003,0.2567,0.5153,56.300
BasicLine,Density,RFF,1002,1996,2439033,745,2439033.00,0.0003,0.0155,0.0252,35.012
BasicLine,Density,FP,1002,1996,2439033,486,42350.88,0.0115,0.5022,1.0155,149.161
BasicLine,Density,EC,1002,1996,2439033,486,42350.88,0.0115,0.5010,1.0150,29.700
BasicLine,Density,Di,1002,1996,2439033,1,1002.00,0.0010,0.0042,4.1052,0.386
BasicLine,Density,EK,1002,1961,2417533,486,982461.00,0.0005,0.5010,0.9943,36.614
BasicLine,Density,FF,1002,1961,2417533,683,2417533.00,0.0003,0.2505,0.4908,53.482
BasicLine,Density,RFF,1002,1961,2417533,706,2417533.00,0.0003,0.0147,0.0232,31.618
BasicLine,Density,FP,1002,1961,2417533,486,41583.21,0.0117,0.5022,0.9948,150.229
BasicLine,Density,EC,1002,1961,2417533,486,41583.21,0.0117,0.5010,0.9943,28.643
BasicLine,Density,Di,1002,1961,2417533,1,1002.00,0.0010,0.0041,4.0938,0.387
BasicLine,Scaling,EK,202,400,459026,95,40400.00,0.0024,0.5050,1.0132,1.098
BasicLine,Scaling,FF,202,400,459026,117,459026.00,0.0003,0.2338,0.4729,1.893
BasicLine,Scaling,RFF,202,400,459026,127,459026.00,0.0003,0.0455,0.0658,1.913
BasicLine,Scaling,FP,202,400,459026,95,7523.29,0.0126,0.5115,1.0162,5.093
BasicLine,Scaling,EC,202,400,459026,95,7523.29,0.0126,0.5050,1.0132,1.265
BasicLine,Scaling,Di,202,400,459026,1,202.00,0.0050,0.0204,4.0150,0.081
BasicLine,Scaling,EK,502,1027,1280989,260,257777.00,0.0010,0.5020,1.0146,8.270
BasicLine,Scaling,FF,502,1027,1280989,373,1280989.00,0.0003,0.2550,0.5192,17.558
BasicLine,Scaling,RFF,502,1027,1280989,382,1280989.00,0.0003,0.0226,0.0339,10.702
BasicLine,Scaling,FP,502,1027,1280989,260,20836.62,0.0125,0.5046,1.0156,39.710
BasicLine,Scaling,EC,502,1027,1280989,260,20836.62,0.0125,0.5020,1.0146,7.869
BasicLine,Scaling,Di,502,1027,1280989,1,502.00,0.0020,0.0081,4.1587,0.202
BasicLine,Scaling,EK,1002,2052,2547631,506,1028052.00,0.0005,0.5010,1.0020,33.313
BasicLine,Scaling,FF,1002,2052,2547631,765,2547631.00,0.0003,0.2607,0.5142,67.340
BasicLine,Scaling,RFF,1002,2052,2547631,773,2547631.00,0.0003,0.0147,0.0232,35.957
BasicLine,Scaling,FP,1002,2052,2547631,506,43668.05,0.0116,0.5023,1.0026,158.195
BasicLine,Scaling,EC,1002,2052,2547631,506,43668.05,0.0116,0.5010,1.0020,30.554
BasicLine,Scaling,Di,1002,2052,2547631,1,1002.00,0.0010,0.0041,4.1311,0.441
BasicLine,Scaling,EK,2002,4022,4963162,1012,4026022.00,0.0003,0.5005,1.0045,137.145
BasicLine,Scaling,FF,2002,4022,4963162,1385,4963162.00,0.0003,0.2516,0.5071,233.068
BasicLine,Scaling,RFF,2002,4022,4963162,1508,4963162.00,0.0003,0.0078,0.0127,125.188
BasicLine,Scaling,FP,2002,4022,4963162,1012,89460.65,0.0113,0.5012,1.0048,680.251
BasicLine,Scaling,EC,2002,4022,4963162,1012,89460.65,0.0113,0.5005,1.0045,135.970
BasicLine,Scaling,Di,2002,4022,4963162,1,2002.00,0.0005,0.0021,4.1176,0.809
BasicLine,Scaling,EK,4002,8047,10205861,2048,16102047.00,0.0001,0.5002,0.9999,616.827
BasicLine,Scaling,FF,4002,8047,10205861,2957,10205861.00,0.0003,0.2575,0.5150,1076.897
BasicLine,Scaling,RFF,4002,8047,10205861,3149,10205861.00,0.0003,0.0041,0.0067,470.262
BasicLine,Scaling,FP,4002,8047,10205861,2048,187357.45,0.0109,0.5006,1.0000,2931.957
