Family,ExpType,Algorithm,n,m,Max_Flow,F,F_bar,r,s_bar,t_bar,Time_ms
DoubleExpLine,Density,EK,1002,1977,4517068,234,990477.00,0.0002,0.4553,0.9613,14.829
DoubleExpLine,Density,FF,1002,1977,4517068,388,4517068.00,0.0001,0.2115,0.4330,30.053
DoubleExpLine,Density,RFF,1002,1977,4517068,282,4517068.00,0.0001,0.0542,0.0973,23.638
DoubleExpLine,Density,FP,1002,1977,4517068,229,43705.45,0.0052,0.2191,0.5991,17.423
DoubleExpLine,Density,EC,1002,1977,4517068,230,43705.45,0.0053,0.4518,0.9546,15.285
DoubleExpLine,Density,Di,1002,1977,4517068,11,1002.00,0.0110,0.0281,2.9058,2.715
DoubleExpLine,Density,EK,1002,2044,12282756,285,1024044.00,0.0003,0.4487,0.9266,17.528
DoubleExpLine,Density,FF,1002,2044,12282756,691,12282756.00,0.0001,0.2391,0.4807,61.184
DoubleExpLine,Density,RFF,1002,2044,12282756,454,12282756.00,0.0000,0.0499,0.0851,34.064
DoubleExpLine,Density,FP,1002,2044,12282756,254,48136.47,0.0053,0.1948,0.5277,19.159
DoubleExpLine,Density,EC,1002,2044,12282756,261,48136.47,0.0054,0.4340,0.8980,16.418
DoubleExpLine,Density,Di,1002,2044,12282756,12,1002.00,0.0120,0.0259,2.9770,2.867
DoubleExpLine,Density,EK,1002,1990,18709209,211,996990.00,0.0002,0.4485,0.9234,17.009
DoubleExpLine,Density,FF,1002,1990,18709209,426,18709209.00,0.0000,0.2491,0.4996,37.316
DoubleExpLine,Density,RFF,1002,1990,18709209,263,18709209.00,0.0000,0.0292,0.0518,16.904
DoubleExpLine,Density,FP,1002,1990,18709209,201,48072.92,0.0042,0.2049,0.5477,16.471
DoubleExpLine,Density,EC,1002,1990,18709209,204,48072.92,0.0042,0.4326,0.8939,12.480
DoubleExpLine,Density,Di,1002,1990,18709209,8,1002.00,0.0080,0.0214,2.8333,1.763
DoubleExpLine,Density,EK,1002,1993,35078946,245,998493.00,0.0002,0.4627,0.9402,19.250
DoubleExpLine,Density,FF,1002,1993,35078946,441,35078946.00,0.0000,0.2273,0.4479,33.147
DoubleExpLine,Density,RFF,1002,1993,35078946,321,35078946.00,0.0000,0.0249,0.0430,19.158
DoubleExpLine,Density,FP,1002,1993,35078946,211,49952.76,0.0042,0.2562,0.6192,24.669
DoubleExpLine,Density,EC,1002,1993,35078946,220,49952.76,0.0044,0.4346,0.8878,13.550
DoubleExpLine,Density,Di,1002,1993,35078946,8,1002.00,0.0080,0.0194,2.8634,1.838
DoubleExpLine,Density,EK,1002,2034,55310750,235,1019034.00,0.0002,0.4769,0.9649,16.414
DoubleExpLine,Density,FF,1002,2034,55310750,469,55310750.00,0.0000,0.2425,0.4835,37.640
DoubleExpLine,Density,RFF,1002,2034,55310750,349,55310750.00,0.0000,0.0219,0.0377,19.463
DoubleExpLine,Density,FP,1002,2034,55310750,205,52316.63,0.0039,0.3659,0.7807,36.516
DoubleExpLine,Density,EC,1002,2034,55310750,219,52316.63,0.0042,0.4442,0.9008,13.094
DoubleExpLine,Density,Di,1002,2034,55310750,4,1002.00,0.0040,0.0117,2.9307,0.951
DoubleExpLine,Scaling,EK,202,410,2191423,50,41410.00,0.0012,0.4775,0.9726,0.943
DoubleExpLine,Scaling,FF,202,410,2191423,82,2191423.00,0.0000,0.3084,0.5714,1.727
DoubleExpLine,Scaling,RFF,202,410,2191423,56,2191423.00,0.0000,0.1290,0.2199,2.433
DoubleExpLine,Scaling,FP,202,410,2191423,45,8636.01,0.0052,0.2838,0.6641,1.388
DoubleExpLine,Scaling,EC,202,410,2191423,46,8636.01,0.0053,0.4534,0.9374,1.035
DoubleExpLine,Scaling,Di,202,410,2191423,6,202.00,0.0297,0.0774,3.0337,0.370
DoubleExpLine,Scaling,EK,502,982,4472904,97,246482.00,0.0004,0.4580,0.9391,2.724
DoubleExpLine,Scaling,FF,502,982,4472904,130,4472904.00,0.0000,0.2115,0.4260,4.796
DoubleExpLine,Scaling,RFF,502,982,4472904,115,4472904.00,0.0000,0.0530,0.0923,5.153
DoubleExpLine,Scaling,FP,502,982,4472904,93,21695.11,0.0043,0.2138,0.5672,3.743
DoubleExpLine,Scaling,EC,502,982,4472904,96,21695.11,0.0044,0.4539,0.9312,3.314
DoubleExpLine,Scaling,Di,502,982,4472904,7,502.00,0.0139,0.0414,2.8286,0.868
DoubleExpLine,Scaling,EK,1002,2044,12282756,285,1024044.00,0.0003,0.4487,0.9266,21.887
DoubleExpLine,Scaling,FF,1002,2044,12282756,691,12282756.00,0.0001,0.2391,0.4807,56.232
DoubleExpLine,Scaling,RFF,1002,2044,12282756,503,12282756.00,0.0000,0.0480,0.0803,37.592
DoubleExpLine,Scaling,FP,1002,2044,12282756,254,48136.47,0.0053,0.1948,0.5277,18.877
DoubleExpLine,Scaling,EC,1002,2044,12282756,261,48136.47,0.0054,0.4340,0.8980,16.759
DoubleExpLine,Scaling,Di,1002,2044,12282756,12,1002.00,0.0120,0.0259,2.9770,3.139
DoubleExpLine,Scaling,EK,2002,4015,20951733,470,4019015.00,0.0001,0.4514,0.9298,70.884
DoubleExpLine,Scaling,FF,2002,4015,20951733,984,20951733.00,0.0000,0.2257,0.4617,158.603
DoubleExpLine,Scaling,RFF,2002,4015,20951733,631,20951733.00,0.0000,0.0265,0.0478,70.578
DoubleExpLine,Scaling,FP,2002,4015,20951733,440,97647.07,0.0045,0.2064,0.5548,66.997
DoubleExpLine,Scaling,EC,2002,4015,20951733,447,97647.07,0.0046,0.4394,0.9073,56.742
DoubleExpLine,Scaling,Di,2002,4015,20951733,15,2002.00,0.0075,0.0177,2.8344,6.744
DoubleExpLine,Scaling,EK,4002,8027,42529442,942,16062027.00,0.0001,0.4439,0.9177,261.567
DoubleExpLine,Scaling,FF,4002,8027,42529442,1846,42529442.00,0.0000,0.2061,0.4208,525.350
DoubleExpLine,Scaling,RFF,4002,8027,42529442,1240,42529442.00,0.0000,0.0193,0.0353,249.230
DoubleExpLine,Scaling,FP,4002,8027,42529442,887,203419.90,0.0044,0.1924,0.5337,265.439
DoubleExpLine,Scaling,EC,4002,8027,42529442,894,203419.90,0.0044,0.4354,0.9008,241.390
DoubleExpLine,Scaling,Di,4002,8027,42529442,14,4002.00,0.0035,0.0083,2.8065,12.399
BasicLine,Density,EK,1002,2009,2557140,514,1006509.00,0.0005,0.5031,1.0033,41.980
BasicLine,Density,FF,1002,2009,2557140,748,2557140.00,0.0003,0.2626,0.5271,66.542
BasicLine,Density,RFF,1002,2009,2557140,727,2557140.00,0.0003,0.0135,0.0213,36.225
BasicLine,Density,FP,1002,2009,2557140,511,42763.77,0.0119,0.5030,1.0055,163.746
BasicLine,Density,EC,1002,2009,2557140,513,42763.77,0.0120,0.5012,1.0023,31.796
BasicLine,Density,Di,1002,2009,2557140,2,1002.00,0.0020,0.0051,3.5311,0.566
BasicLine,Density,EK,1002,2052,2547631,506,1028052.00,0.0005,0.5010,1.0020,32.786
BasicLine,Density,FF,1002,2052,2547631,765,2547631.00,0.0003,0.2607,0.5142,69.354
BasicLine,Density,RFF,1002,2052,2547631,802,2547631.00,0.0003,0.0130,0.0199,35.159
BasicLine,Density,FP,1002,2052,2547631,506,43668.05,0.0116,0.5023,1.0026,159.829
BasicLine,Density,EC,1002,2052,2547631,506,43668.05,0.0116,0.5010,1.0020,30.901
BasicLine,Density,Di,1002,2052,2547631,1,1002.00,0.0010,0.0041,4.1311,0.426
BasicLine,Density,EK,1002,2020,2410324,474,1012020.00,0.0005,0.5010,1.0119,29.638
BasicLine,Density,FF,1002,2020,2410324,694,2410324.00,0.0003,0.2512,0.5071,59.958
BasicLine,Density,RFF,1002,2020,2410324,743,2410324.00,0.0003,0.0158,0.0259,34.899
BasicLine,Density,FP,1002,2020,2410324,474,42825.61,0.0111,0.5023,1.0124,145.972
BasicLine,Density,EC,1002,2020,2410324,474,42825.61,0.0111,0.5010,1.0119,29.922
BasicLine,Density,Di,1002,2020,2410324,1,1002.00,0.0010,0.0042,4.0881,0.447
BasicLine,Density,EK,1002,1996,2439033,486,999996.00,0.0005,0.5010,1.0150,30.438
BasicLine,Density,FF,1002,1996,2439033,657,2439033.00,0.0003,0.2567,0.5153,57.981
BasicLine,Density,RFF,1002,1996,2439033,710,2439033.00,0.0003,0.0146,0.0236,33.972
BasicLine,Density,FP,1002,1996,2439033,486,42350.88,0.0115,0.5022,1.0155,157.614
BasicLine,Density,EC,1002,1996,2439033,486,42350.88,0.0115,0.5010,1.0150,31.143
BasicLine,Density,Di,1002,1996,2439033,1,1002.00,0.0010,0.0042,4.1052,0.449
BasicLine,Density,EK,1002,1961,2417533,486,982461.00,0.0005,0.5010,0.9943,35.693
BasicLine,Density,FF,1002,1961,2417533,683,2417533.00,0.0003,0.2505,0.4908,58.033
BasicLine,Density,RFF,1002,1961,2417533,700,2417533.00,0.0003,0.0143,0.0224,32.119
BasicLine,Density,FP,1002,1961,2417533,486,41583.21,0.0117,0.5022,0.9948,149.666
BasicLine,Density,EC,1002,1961,2417533,486,41583.21,0.0117,0.5010,0.9943,28.259
BasicLine,Density,Di,1002,1961,2417533,1,1002.00,0.0010,0.0041,4.0938,0.393
BasicLine,Scaling,EK,202,400,459026,95,40400.00,0.0024,0.5050,1.0132,1.162
BasicLine,Scaling,FF,202,400,459026,117,459026.00,0.0003,0.2338,0.4729,1.868
BasicLine,Scaling,RFF,202,400,459026,148,459026.00,0.0003,0.0467,0.0658,2.161
BasicLine,Scaling,FP,202,400,459026,95,7523.29,0.0126,0.5115,1.0162,4.910
BasicLine,Scaling,EC,202,400,459026,95,7523.29,0.0126,0.5050,1.0132,1.196
BasicLine,Scaling,Di,202,400,459026,1,202.00,0.0050,0.0204,4.0150,0.081
BasicLine,Scaling,EK,502,1027,1280989,260,257777.00,0.0010,0.5020,1.0146,10.823
BasicLine,Scaling,FF,502,1027,1280989,373,1280989.00,0.0003,0.2550,0.5192,16.760
BasicLine,Scaling,RFF,502,1027,1280989,417,1280989.00,0.0003,0.0228,0.0333,12.968
BasicLine,Scaling,FP,502,1027,1280989,260,20836.62,0.0125,0.5046,1.0156,43.535
BasicLine,Scaling,EC,502,1027,1280989,260,20836.62,0.0125,0.5020,1.0146,9.095
BasicLine,Scaling,Di,502,1027,1280989,1,502.00,0.0020,0.0081,4.1587,0.228
BasicLine,Scaling,EK,1002,2052,2547631,506,1028052.00,0.0005,0.5010,1.0020,33.497
BasicLine,Scaling,FF,1002,2052,2547631,765,2547631.00,0.0003,0.2607,0.5142,69.018
BasicLine,Scaling,RFF,1002,2052,2547631,730,2547631.00,0.0003,0.0142,0.0225,34.168
BasicLine,Scaling,FP,1002,2052,2547631,506,43668.05,0.0116,0.5023,1.0026,159.059
BasicLine,Scaling,EC,1002,2052,2547631,506,43668.05,0.0116,0.5010,1.0020,31.096
BasicLine,Scaling,Di,1002,2052,2547631,1,1002.00,0.0010,0.0041,4.1311,0.427
BasicLine,Scaling,EK,2002,4022,4963162,1012,4026022.00,0.0003,0.5005,1.0045,144.014
BasicLine,Scaling,FF,2002,4022,4963162,1385,4963162.00,0.0003,0.2516,0.5071,238.946
BasicLine,Scaling,RFF,2002,4022,4963162,1554,4963162.00,0.0003,0.0075,0.0121,124.698
BasicLine,Scaling,FP,2002,4022,4963162,1012,89460.65,0.0113,0.5012,1.0048,697.648
BasicLine,Scaling,EC,2002,4022,4963162,1012,89460.65,0.0113,0.5005,1.0045,131.857
BasicLine,Scaling,Di,2002,4022,4963162,1,2002.00,0.0005,0.0021,4.1176,0.840
BasicLine,Scaling,EK,4002,8047,10205861,2048,16102047.00,0.0001,0.5002,0.9999,604.279
BasicLine,Scaling,FF,4002,8047,10205861,2957,10205861.00,0.0003,0.2575,0.5150,1015.028
BasicLine,Scaling,RFF,4002,8047,10205861,3116,10205861.00,0.0003,0.0040,0.0066,457.129
BasicLine,Scaling,FP,4002,8047,10205861,2048,187357.45,0.0109,0.5006,1.0000,2899.130
BasicLine,Scaling,EC,4002,8047,10205861,2048,187357.45,0.0109,0.5002,0.9999,579.897
BasicLine,Scaling,Di,4002,8047,10205861,1,4002.00,0.0002,0.0010,4.1379,1.892
